brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Single,Selfie camera | Features,Display | Protection,Main Camera | Triple,Display | ,Main Camera | Quad,Selfie camera | Dual
vivo,https://www.gsmarena.com/vivo_y18t-13492.php,vivo Y18t,163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 90Hz, 840 nits (HBM)","6.56 inches, 103.4 cm 2 (~83.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, Funtouch 14",Unisoc T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),128GB 4GB RAM,eMMC 5.1,,"LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",Yes,Li-Ion 5000 mAh,15W wired,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",,,,,,
vivo,https://www.gsmarena.com/vivo_iqoo_13-13462.php,vivo iQOO 13,163.4 x 76.7 x 8 mm (6.43 x 3.02 x 0.31 in),207 g or 213 g (7.30 oz),"Glass front, aluminum frame, glass back or glass-fiber reinforced plastic back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) RGB LED light on the back,"LTPO AMOLED, 1B colors, 144Hz, 2592Hz PWM, HDR10+, 800 nits (typ), 1800 nits (HBM), 4500 nits (peak)","6.82 inches, 113.0 cm 2 (~90.2% screen-to-body ratio)",1440 x 3168 pixels (~510 ppi density),"Android 15, up to 4 major Android upgrades, Funtouch 15 (International), OriginOS 5 (China)",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0 or UFS 4.1,,"Color spectrum sensor, Dual-LED flash, HDR, panorama","8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS","32 MP, f/2.5, 28mm (wide), 1/3.15"", 0.7µm","4K@30/60fps, 1080p@30/60fps",Market-dependent versions: · Si/C Li-Ion 6150 mAh (Global) · 6000 mAh (India only),"120W wired, PPS, 100% in 30 min",,HDR,Schott Xensation Alpha,"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/1.9, 50mm (telephoto), 1/2.93"", 0.6µm, PDAF, OIS, 2x optical zoom 50 MP, f/2.0, 15mm (ultrawide), 1/2.76"", 0.64µm, AF",,,
vivo,https://www.gsmarena.com/vivo_y300_plus-13427.php,vivo Y300 Plus,164.4 x 74.9 x 7.5 mm (6.47 x 2.95 x 0.30 in),172 g or 183 g (6.07 oz),"Glass front, plastic back or glass back, plastic frame",Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, 1300 nits (peak)","6.78 inches, 111.0 cm 2 (~90.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 14, Funtouch 14",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,No,128GB 8GB RAM,UFS 2.2,"50 MP, f/1.8, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama",1080p@30fps,"32 MP, f/2.5, (wide)",1080p@30fps,5000 mAh,44W wired Reverse wired,,,,,,,
vivo,https://www.gsmarena.com/vivo_x200_pro_mini-13434.php,vivo X200 Pro mini,150.8 x 71.8 x 8.2 mm (5.94 x 2.83 x 0.32 in),187 g (6.60 oz),"Glass front, aluminum frame",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 4500 nits (peak)","6.31 inches, 98.0 cm 2 (~90.5% screen-to-body ratio)","1216 x 2640 pixels, 19.5:9 ratio (~460 ppi density)","Android 15, OriginOS 5 (China)",Mediatek Dimensity 9400 (3 nm),Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,,"Laser AF, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR","32 MP, f/2.0, 20mm (ultrawide)","4K, 1080p",Si/C Li-Ion 5700 mAh,90W wired 30W wireless Reverse wired,,HDR,,"50 MP, f/1.6, 23mm (wide), 1/1.28"", 1.22µm, PDAF, OIS 50 MP, f/2.6, 70mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom 50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF",,,
vivo,https://www.gsmarena.com/vivo_x200_pro-13410.php,vivo X200 Pro,162.4 x 76 x 8.2 mm or 8.5 mm,223 g or 228 g (7.87 oz),"Glass front, aluminum frame, glass back or glass-fiber reinforced plastic back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, Dolby Vision, 4500 nits (peak)","6.78 inches, 111.5 cm 2 (~90.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~452 ppi density)","Android 15, up to 4 major Android upgrades, Funtouch 15 (International), OriginOS 5 (China)",Mediatek Dimensity 9400 (3 nm),Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,,"Laser AF, color spectrum sensor, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, 10-bit Log, Dolby Vision HDR","32 MP, f/2.0, 20mm (ultrawide)","4K@30/60fps, 1080p@30/60fps","· Si/C Li-Ion 6000 mAh (Global) · Li-Ion 5200 mAh (Austria, Hungary, Germany)",90W wired 30W wireless Reverse wireless Reverse wired,,HDR,Scratch/drop-resistant glass (Armor Glass),"50 MP, f/1.6, 23mm (wide), 1/1.28"", 1.22µm, PDAF, OIS 200 MP, f/2.7, 85mm (periscope telephoto), 1/1.4"", 0.56µm, multi-directional PDAF, OIS, 3.7x optical zoom, macro 2.7:1 50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF",Ultra HDR image support,,
vivo,https://www.gsmarena.com/vivo_x200-13433.php,vivo X200,160.3 x 74.8 x 8 mm (6.31 x 2.94 x 0.31 in),197 g or 202 g (6.95 oz),"Glass front, aluminum frame, glass back or glass-fiber reinforced plastic back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) IP69 (market/region dependent),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 4500 nits (peak)","6.67 inches, 107.4 cm 2 (~89.6% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~460 ppi density)","Android 15, up to 4 major Android upgrades, Funtouch 15 (International), OriginOS 5 (China)",Mediatek Dimensity 9400 (3 nm),Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,,"Laser AF, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","32 MP, f/2.0, 20mm (ultrawide)","4K@30/60fps, 1080p@30/60fps",Market-dependent versions: · Si/C Li-Ion 5800 mAh (Global) · Li-Ion 5220 mAh (Austria),90W wired Reverse wired,,HDR,Schott Xensation Alpha,"50 MP, f/1.6, 23mm (wide), 1/1.56"", PDAF, OIS 50 MP, f/2.6, 70mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom 50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF",Ultra HDR image support,,
vivo,https://www.gsmarena.com/vivo_y19s-13436.php,vivo Y19s 4G,165.8 x 76.1 x 8.1 mm (6.53 x 3.00 x 0.32 in),198 g (6.98 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"IPS LCD, 90Hz, 1000 nits (HBM)","6.68 inches, 107.4 cm 2 (~85.1% screen-to-body ratio)","720 x 1608 pixels, 20:9 ratio (~264 ppi density)","Android 14, Funtouch 14",Unisoc Tiger T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",eMMC 5.1,,"Ring-LED flash, panorama",1080p@30fps,"5 MP, f/2.2",Yes,Li-Ion 5500 mAh,15W wired Reverse wired,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF Auxiliary lens",,Mohs level 4,,,,
vivo,https://www.gsmarena.com/vivo_v40_lite_4g_(idn)-13360.php,vivo V40 Lite 4G (IDN),163.2 x 75.9 x 7.8 mm or 8.0 mm,188 g or 190 g (6.63 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 1800 nits (peak)","6.67 inches, 107.4 cm 2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 14, Funtouch 14",Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF Auxiliary lens","Ring-LED flash, panorama, HDR",1080p@30fps,"32 MP, f/2.5, (wide)",1080p@30fps,Li-Ion 5000 mAh,"80W wired, 45% in 15 min Reverse wired",,,,,,,
vivo,https://www.gsmarena.com/vivo_v40_lite_(idn)-13353.php,vivo V40 Lite (IDN),163.2 x 75.9 x 7.8 mm or 8.0 mm,188 g or 190 g (6.63 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 1800 nits (peak)","6.67 inches, 107.4 cm 2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 2.2,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF 8 MP, f/2.2, 120˚ (ultrawide)","Ring-LED flash, panorama, HDR",1080p@30fps,"32 MP, f/2.5, (wide)",1080p@30fps,Li-Ion 5000 mAh,"80W wired, 80% in 30 min Reverse wired",,,,,,,
vivo,https://www.gsmarena.com/vivo_v40e-13339.php,vivo V40e,163.7 x 75 x 7.5 mm (6.44 x 2.95 x 0.30 in),183 g (6.46 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+","6.77 inches, 110.9 cm 2 (~90.3% screen-to-body ratio)",1080 x 2392 pixels (~388 ppi density),"Android 14, Funtouch 14",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,"50 MP, f/2.0, (wide), 1/1.95"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 116˚ (ultrawide)","Ring-LED flash, panorama, HDR","4K, 1080p, HDR, gyro-EIS, OIS","50 MP, f/2.0, (wide), 1/2.76"", 0.64µm, AF",1080p@30fps,Li-Ion 5500 mAh,80W wired Reverse wired,,,,,,,
