name,gsmarena_url,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | ,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Display | Protection,Main Camera | Triple,Main Camera | Single,Selfie camera | Dual,Battery | Talk time,Battery | Music play,brand
OPPO Reno15 5G,https://www.gsmarena.com/oppo_reno15_5g_(global)-14395.php,158 x 74.8 x 7.8 mm (6.22 x 2.94 x 0.31 in),197 g (6.95 oz),"Glass front (Gorilla Glass 7i), aluminum frame, glass back",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 120Hz, HDR10+, 600 nits (typ), 1200 nits (HBM)","6.59 inches, 105.6 cm 2 (~89.4% screen-to-body ratio)",1256 x 2760 pixels (~460 ppi density),,"Android 16, ColorOS 16",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",UFS 3.1,,"Color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR","50 MP, f/2.0, 18mm (ultrawide), AF","Panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR",6500 mAh,"80W wired, 80W UFCS, 55W PPS, 13.5W PD, 13.5W QC, 100% in 50 min Reverse wired","Corning Gorilla Glass 7i, Mohs level 5","50 MP, f/1.8, 26mm (wide), PDAF, OIS 50 MP, f/2.8, 80mm (telephoto), PDAF, OIS, 3.5x optical zoom 8 MP, f/2.2, 15mm, 116˚ (ultrawide), 1/4.0"", 1.12µm, AF",,,,,OPPO
OPPO Reno12 FS 5G,https://www.gsmarena.com/oppo_reno12_f-13182.php,163.1 x 75.8 x 7.8 mm (6.42 x 2.98 x 0.31 in),187 g (6.60 oz),,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HMB), 2100 nits (peak)","6.67 inches, 107.4 cm 2 (~86.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 14, upgradable to Android 15, ColorOS 15",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",UFS 2.2,,"LED flash, HDR, panorama","1080p@30/60fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm",Panorama,1080p@30fps,5000 mAh,"45W wired, PD2.0 Reverse wired",Asahi Glass AGC DT-Star2,"50 MP, f/1.8, 26mm (wide), PDAF, OIS 8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",,,,,OPPO
TECNO SPARK 30 Pro Transformer,https://www.gsmarena.com/tecno_spark_30_pro-13357.php,166.6 x 77 x 7.4 mm (6.56 x 3.03 x 0.29 in),-,,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, 1700 nits (peak)","6.78 inches, 109.9 cm 2 (~85.7% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),,"Android 14, HIOS 14",Mediatek Helio G100 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,,"Quad-LED flash, HDR","1440p@30fps, 1080p@30fps","13 MP, (wide)",Dual-LED dual-tone flash,1080p@30fps,5000 mAh,33W wired,,,"108 MP, f/1.9, (wide), 1/1.52"", PDAF Auxiliary lens",,,,TECNO
OnePlus V Fold,https://www.gsmarena.com/oneplus_v_fold-12391.php,-,-,,Nano-SIM + Nano-SIM,,"Foldable LTPO AMOLED, 120Hz, HDR10+","7.8 inches, 195.8 cm 2",1792 x 1920 pixels (~337 ppi density),"Cover display: AMOLED, 120Hz, 6.3 inches",Android 14,,,,No,256GB 16GB RAM,UFS,,"Hasselblad Color Calibration, Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps","20 MP, (wide) Cover camera: 32 MP, f/2.4, 22mm (wide), 1/3.14""","HDR, panorama","1080p@30fps, gyro-EIS",Li-Po 4800 mAh,67W wired,,"48 MP, (wide), PDAF, OIS 64 MP, (telephoto), optical zoom, PDAF 48 MP, f/2.2, 14mm, 115˚ (ultrawide), 1/2.0"", 0.8µm, AF",,,,,OnePlus
Xiaomi 14T Pro,https://www.gsmarena.com/xiaomi_14t_pro-13328.php,160.4 x 75.1 x 8.4 mm (6.31 x 2.96 x 0.33 in),209 g (7.37 oz),"Glass front (Gorilla Glass 5), aluminum frame, glass back (Panda X)",· Nano-SIM + eSIM · eSIM + eSIM · Nano-SIM + Nano-SIM,"IP68 dust tight and water resistant (immersible up to 2m for 30 min) 6M13 aluminium alloy, 281 N/mm frame rigidity, 260 N/mm device rigidity","AMOLED, 68B colors, 144Hz, 3840Hz PWM, Dolby Vision, HDR10+, 1600 nits (HBM), 4000 nits (peak)","6.67 inches, 107.4 cm 2 (~89.1% screen-to-body ratio)","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)",,"Android 14, HyperOS",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 12GB RAM",UFS 4.0,,"Leica lens, Ultra HDR, LED flash, HDR, panorama","8K@24/30fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, 10-bit Rec. 2020, HDR10+","32 MP, f/2.0, 25mm (wide), 1/3.44"", 0.64µm",HDR,"4K@30fps, 1080p@30/60fps, HDR10+",Li-Po 5000 mAh,"120W wired, PD3.0, QC4, 100% in 19 min 50W wireless, 100% in 45 min",Corning Gorilla Glass 5,"50 MP, f/1.6, 23mm (wide), 1/1.31"", 1.2µm, PDAF, OIS 50 MP, f/2.0, 60mm (telephoto), 1/2.88"", 0.61µm, PDAF, 2.6x optical zoom 12 MP, f/2.2, 15mm (ultrawide), 1/3.06"", 1.12µm",,,,,Xiaomi
Xiaomi 17T 5G,https://www.gsmarena.com/xiaomi_17t_5g-14652.php,-,-,"Glass front (Gorilla Glass), plastic frame, glass-fiber reinforced plastic back",· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 3m for 30 min),"AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+","6.59 inches, 106.4 cm 2","1268 x 2756 pixels, 19.5:9 ratio (~460 ppi density)",,"Android 16, HyperOS 3",Mediatek Dimensity 8500 Ultra (4 nm),Octa-core (1x3.4 GHz Cortex-A725 & 3x3.2 GHz Cortex-A725 & 4x2.2 GHz Cortex-A725),Mali-G720 MC8,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.1,,"Leica lens, Color spectrum sensor, Ultra HDR, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, 10-bit Rec. 2020, HDR10+","32 MP, f/2.2, 21mm (wide), 1/3.44"", 0.64µm",HDR,"4K@30fps, 1080p@30/60fps, HDR10+",Si/C Li-Ion 6500 mAh,"67W wired, PD3.0",Corning Gorilla Glass,"50 MP, f/1.7, 23mm (wide), 1/1.55"", 1.0µm, PDAF, OIS 50 MP, f/3.0, 115mm (periscope telephoto), 1/2.76"", 0.64µm, PDAF (10cm - ∞), OIS, 5x optical zoom 12 MP, f/2.2, 15mm, 120˚  (ultrawide), 1/3.06"", 1.12µm",,,,,Xiaomi
Xiaomi 17T Pro 5G,https://www.gsmarena.com/xiaomi_17t_pro_5g-14651.php,-,-,"Glass front (Gorilla Glass), aluminum frame, glass-fiber reinforced plastic back",· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,"IP68 dust tight and water resistant (immersible up to 3m for 30 min) 6M13 aluminium alloy, 330 N/mm frame rigidity, 321 N/mm device rigidity","AMOLED, 68B colors, 144Hz, 3840Hz PWM, Dolby Vision, HDR10+","6.83 inches, 114.5 cm 2","1280 x 2772 pixels, 19.5:9 ratio (~447 ppi density)",,"Android 16, HyperOS 3",Mediatek Dimensity 9500 (3 nm),Octa-core (1x4.21 GHz C1-Ultra & 3x3.5 GHz C1-Premium & 4x2.7 GHz C1-Pro),Mali-G1 Ultra MC12,No,"512GB 12GB RAM, 1TB 12GB RAM",UFS 4.1,,"Leica lens, Color spectrum sensor, Ultra HDR, LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240/960fps, gyro-EIS, 10-bit Rec. 2020, HDR10+","32 MP, f/2.2, 21mm (wide), 1/3.44"", 0.64µm",HDR,"4K@30fps, 1080p@30/60fps, HDR10+",Si/C Li-Ion 7000 mAh,"100W wired, PD3.0, QC4 50W wireless",Corning Gorilla Glass,"50 MP, f/1.6, 23mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, OIS 50 MP, f/3.0, 115mm (periscope telephoto), 1/2.76"", 0.64µm, PDAF (10cm - ∞), OIS, 5x optical zoom 12 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/3.06"", 1.12µm",,,,,Xiaomi
Xiaomi Redmi 14,https://www.gsmarena.com/xiaomi_redmi_note_14_4g_(global)-13616.php,163.3 x 76.6 x 8.2 mm (6.43 x 3.02 x 0.32 in),196.5 g (6.95 oz),"Glass front (Gorilla Glass 5), plastic back, aluminum frame",Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, 960Hz PWM, 1200 nits (HBM), 1800 nits (peak)","6.67 inches, 107.4 cm 2 (~85.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 14, up to 4 major Android upgrades, HyperOS",Mediatek Helio G99 Ultra (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",UFS 2.2,,"LED flash, HDR, panorama",1080p@30/60fps,"20 MP, f/2.2, (wide), 1/4.0"", 0.7µm",,1080p@30fps,5500 mAh,"33W wired, 55% in 44 min","Corning Gorilla Glass 5, Mohs level 5","108 MP, f/1.7, (wide), 1/1.67"", 0.64µm, PDAF 2 MP (macro) Auxiliary lens",,,,,Xiaomi
POCO F6,https://www.gsmarena.com/xiaomi_poco_f6-13000.php,160.5 x 74.5 x 8 mm (6.32 x 2.93 x 0.31 in),179 g (6.31 oz),"Glass front (Gorilla Glass Victus), plastic frame, plastic back",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 68B colors, 120Hz, 1920Hz PWM, HDR10+, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 2400 nits (peak)","6.67 inches, 107.4 cm 2 (~89.8% screen-to-body ratio)","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)",,"Android 14, up to 3 major Android upgrades, HyperOS",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,"50 MP, f/1.6, (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS 8 MP, (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","20 MP, f/2.2, (wide), 0.8µm",HDR,1080p@30/60fps,5000 mAh,"90W wired, PD3.0, 2-100% in 35 min",Corning Gorilla Glass Victus,,,,,,POCO
POCO M6+ 5G,https://www.gsmarena.com/xiaomi_poco_m6_plus-13119.php,168.6 x 76.3 x 8.3 mm (6.64 x 3.00 x 0.33 in),205 g (7.23 oz),"Glass front, plastic frame, glass back",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"IPS LCD, 120Hz, 550 nits (peak)","6.79 inches, 109.5 cm 2 (~85.1% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 14, up to 2 major Android upgrades, HyperOS",Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",UFS 2.2,"108 MP, f/1.8, 28mm (wide), 0.64µm, PDAF 2 MP (macro)","LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.5, (wide)","HDR, panorama",1080p@30fps,5030 mAh,33W wired,Corning Gorilla Glass 3,,,,,,POCO
POCO X8 Pro Max,https://www.gsmarena.com/xiaomi_poco_x8_pro_max_5g-14507.php,162.9 x 77.9 x 8.2 mm (6.41 x 3.07 x 0.32 in),218 g (7.69 oz),"Glass front (Gorilla Glass 7i), aluminum frame, glass-fiber reinforced plastic back",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) IP69K (market/region dependent),"AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 2000 nits (HBM), 3500 nits (peak)","6.83 inches, 114.5 cm 2 (~90.3% screen-to-body ratio)","1280 x 2772 pixels, 19.5:9 ratio (~447 ppi density)",,"Android 16, HyperOS 3",Mediatek Dimensity 9500s (3 nm),Octa-core (1x3.73 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925 MC12,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.1,"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, HDR10+","20 MP, f/2.2, (wide), 1/4""",,1080p@30/60fps,Si/C Li-Ion 8500 mAh or 9000 mAh (market/region dependent),"100W wired, 100W PPS, PD3.0, PPS, 50% in 24 min 27W reverse wired Bypass charging","Corning Gorilla Glass 7i, Mohs level 5",,,,,,POCO
