name,gsmarena_url,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | ,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Display | Protection,Main Camera | Triple,Main Camera | Single,Selfie camera | Dual,Battery | Talk time,Battery | Music play,brand
Nubia RedMagic 8S Pro 5G,https://www.gsmarena.com/zte_nubia_red_magic_8s_pro-12398.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nubia
Nubia Red Magic 9 Pro,https://www.gsmarena.com/zte_nubia_red_magic_9_pro-12709.php,164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in),229 g (8.08 oz),"Glass front (Gorilla Glass 5), aluminum frame, glass back",Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors (China only), 120Hz, 1600 nits (peak)","6.8 inches, 111.6 cm 2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",,"Android 14, Redmagic OS 9",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",UFS 4.0,,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, f/2.0, (wide), 1.12µm, under display",HDR,1080p@30/60fps,6500 mAh,"80W wired, PD3.0, 100% in 35 min",Corning Gorilla Glass 5,"50 MP, (wide), 1/1.57"", 1.0µm, PDAF, OIS 50 MP, f/2.2, (ultrawide), 1/2.76"", 0.64µm 2 MP (macro)",,,,,Nubia
Nubia Red Magic 10,https://www.gsmarena.com/zte_nubia_redmagic_10_air_5g-13797.php,164.3 x 76.6 x 7.9 mm (6.47 x 3.02 x 0.31 in),205 g (7.23 oz),"Glass front (Gorilla Glass 5), aluminum frame, glass back (Panda Glass 2)",Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Aviation aluminum middle frame IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 1600 nits (peak)","6.8 inches, 111.6 cm 2 (~88.7% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",,"Android 15, up to 3 major Android upgrades, Redmagic OS 10",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 512GB 16GB RAM",UFS 4.0,"50 MP, f/1.9, (wide), 1/1.55"", 1.0µm, PDAF, OIS 50 MP, f/2.2, (ultrawide), 1/2.88"", 0.61µm, AF","LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, f/2.0, (wide), 1/2.77"", 1.12µm, under display",HDR,1080p@30/60fps,6000 mAh,"80W wired, 100% in 52 min","Corning Gorilla Glass 5, Mohs level 4",,,,,,Nubia
Nubia A36,https://www.gsmarena.com/zte_blade_a36-13966.php,167.6 x 77.4 x 8.3 mm (6.60 x 3.05 x 0.33 in),-,"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.75 inches, 110.0 cm 2 (~84.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,Android 15,Unisoc T7200 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),64GB 4GB RAM,eMMC 5.1,,LED flash,1080p@30fps,5 MP,,Yes,5000 mAh,10W wired,Mohs level 4,,"13 MP, AF Auxiliary lens",,,,Nubia
Samsung Galaxy A36 5G,https://www.gsmarena.com/samsung_galaxy_a36-13497.php,162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),195 g (6.88 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),IP67 dust/water resistant (up to 1m for 30 min),"Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)","6.7 inches, 110.2 cm 2 (~86.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",,"Android 15, up to 6 major Android upgrades, One UI 7",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,,"LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","12 MP, f/2.2, (wide)",,"4K@30fps, 1080p@30fps, 10-bit HDR",5000 mAh,"45W wired, 66% in 30 min, 100% in 68 min","Corning Gorilla Glass Victus+, Mohs level 5","50 MP, f/1.8, (wide), 1/1.96"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)",,,,,Samsung
Samsung Galaxy A06s,https://www.gsmarena.com/samsung_galaxy_a06-13265.php,167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),189 g (6.67 oz),"Glass front, plastic back, plastic frame",· Nano-SIM · Nano-SIM + Nano-SIM,,PLS LCD,"6.7 inches, 108.4 cm 2 (~83.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,"Android 14, up to 2 major Android upgrades, One UI 8",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",eMMC 5.1,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF Auxiliary lens",LED flash,1080p@30/60fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,Yes,Li-Po 5000 mAh,25W wired,,,,,,,Samsung
Samsung Galaxy A15 LTE,https://www.gsmarena.com/samsung_galaxy_a15-12637.php,160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",· Nano-SIM · Nano-SIM + Nano-SIM,,"Super AMOLED, 90Hz, 800 nits (HBM)","6.5 inches, 103.7 cm 2 (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",,"Android 14, up to 4 major Android upgrades, One UI 7",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 26mm (wide), 1/3.06"", 1.12µm",,1080p@30fps,5000 mAh,25W wired,,"50 MP, f/1.8, 26mm (wide), 1/2.8"", 0.64µm, PDAF 5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm 2 MP (macro)",,,,,Samsung
Samsung Galaxy A16 LTE,https://www.gsmarena.com/samsung_galaxy_a16-13383.php,164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"Super AMOLED, 90Hz","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)",,"Android 14, up to 6 major Android upgrades, One UI 7",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,1080p@30fps,5000 mAh,25W wired,Mohs level 5,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP (macro)",,,,,Samsung
Samsung Galaxy S8,https://www.gsmarena.com/samsung_galaxy_s8-8161.php,148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),155 g (5.47 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"Super AMOLED, HDR10","5.8 inches, 84.8 cm 2 (~83.6% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~570 ppi density)",3D Touch (home button only),"Android 7.0 (Nougat), upgradable to Android 9.0 (Pie), One UI",Exynos 8895 (10 nm) - EMEA Qualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,Octa-core (4x2.3 GHz Mongoose M2 & 4x1.7 GHz Cortex-A53) - EMEA Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo) - USA & China,Mali-G71 MP20 - EMEA Adreno 540 - USA & China,microSDXC (uses shared SIM slot) - dual SIM model only,64GB 4GB RAM,UFS 2.0 or UFS 2.1,,"LED flash, auto-HDR, panorama","4K@30fps, 1080p@30/60fps, 720p@240fps, HDR, stereo sound rec., gyro-EIS, OIS",,HDR,1440p@30fps,"Li-Ion 3000 mAh, non-removable (11.55 Wh)","15W wired, QC2 Wireless (Qi) (market dependent)",Corning Gorilla Glass 5,,"12 MP, f/1.7, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","8 MP, f/1.7, 25mm (wide), 1/3.6"", 1.22µm, AF 2 MP (dedicated iris scanner camera)",Up to 20 h (3G),Up to 67 h,Samsung
OPPO Find N5,https://www.gsmarena.com/oppo_find_n5-13659.php,Unfolded: 160.9 x 145.6 x 4.2 mm Folded: 160.9 x 74.4 x 8.9 mm,229 g (8.08 oz),"Glass front (Nanocrystal Glass) (folded), plastic front (unfolded), glass back or eco leather back, aluminum frame, titanium alloy hinge",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,IPX8/IPX9 water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"Foldable LTPO OLED, 1B colors, Dolby Vision, HDR10+, HDR Vivid, 120Hz, 1400 nits (HBM), 2100 nits (peak)","8.12 inches, 211.7 cm 2 (~90.4% screen-to-body ratio)",2248 x 2480 pixels (~412 ppi density),"Stylus support (both screens) Cover display: LTPO OLED, 1B colors, Dolby Vision, HDR10+, HDR Vivid, 120Hz, 1600 nits (HBM), 2450 nits (peak), Ultra HDR image support 6.62 inches, 1140 x 2616 pixels, 431 ppi, Nanocrystal Glass","Android 15, ColorOS 15",Qualcomm SM8750-3-AB Snapdragon 8 Elite (3 nm),7-core (2x4.32 GHz Oryon V2 Phoenix L + 5x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,,"Hasselblad Color Calibration, color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps gyro-EIS, HDR10+, Dolby Vision","8MP, f/2.4, 21mm (ultrawide), 1/4.0”, 1.12µm Cover camera: 8MP, f/2.4, 21mm (ultrawide), 1/4.0”, 1.12µm",HDR,"4K@30fps, 1080p@30fps, gyro-EIS",Si/C Li-Ion 5600 mAh,"80W wired, PD, 100% in 50 min 50W wireless Reverse wired",,"50 MP, f/1.9, 21mm (wide), 1/1.56”, PDAF, OIS 50 MP, f/2.7, 75mm (periscope telephoto), 1/2.75"", 3x optical zoom, PDAF (10cm - ∞), OIS 8 MP, f/2.2, 15mm, 116˚, (ultrawide), 1/4.0”, 1.12µm, AF",,,,,OPPO
