brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Display | ,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Triple,Main Camera | Single,Selfie camera | Dual,Battery | Stand-by,Battery | Talk time,Battery | Music play
sony,https://www.gsmarena.com/sony_xperia_10_plus-9591.php,Sony Xperia 10 Plus,167 x 73 x 8.3 mm (6.57 x 2.87 x 0.33 in),180 g (6.35 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",· Nano-SIM · Nano-SIM + Nano-SIM,,IPS LCD,"6.5 inches, 98.7 cm 2 (~81.0% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~422 ppi density)",Corning Gorilla Glass 5,,Android 9.0 (Pie),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 64GB 6GB RAM",eMMC 5.1,"12 MP, f/1.8, 27mm (wide), 1/2.8"", 1.25µm, PDAF 8 MP, f/2.4, 53mm (telephoto), 1/4.0"", 1.12µm, PDAF, 2x optical zoom","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,"Li-Ion 3000 mAh, non-removable","18W wired, PD, QC3",,,,,,
sony,https://www.gsmarena.com/sony_xperia_10-9353.php,Sony Xperia 10,156 x 68 x 8.4 mm (6.14 x 2.68 x 0.33 in),162 g (5.71 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",· Nano-SIM · Nano-SIM + Nano-SIM,,IPS LCD,"6.0 inches, 84.1 cm 2 (~79.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",Corning Gorilla Glass 5,,Android 9.0 (Pie),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),"64GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,"13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF Auxiliary lens","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",,1080p@30fps,"Li-Ion 2870 mAh, non-removable","18W wired, PD, QC3",,,,,,
sony,https://www.gsmarena.com/sony_xperia_l3-9592.php,Sony Xperia L3,154 x 72 x 8.9 mm (6.06 x 2.83 x 0.35 in),156 g (5.50 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",· Nano-SIM · Nano-SIM + Nano-SIM,,IPS LCD,"5.7 inches, 83.8 cm 2 (~75.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Corning Gorilla Glass 5,,Android 8.0 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,eMMC 5.1,"13 MP, f/2.2, 26mm (wide), 1/3.0"", PDAF Auxiliary lens","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",,1080p@30fps,"Li-Ion 3300 mAh, non-removable",USB Power Delivery,,,,,,
sony,https://www.gsmarena.com/sony_xperia_xa2_plus-9268.php,Sony Xperia XA2 Plus,157 x 75 x 9.6 mm (6.18 x 2.95 x 0.38 in),205 g (7.23 oz),"Glass front (Gorilla Glass 5), plastic back, aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,,IPS LCD,"6.0 inches, 92.9 cm 2 (~78.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Corning Gorilla Glass 5,,Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),"32GB 4GB RAM, 64GB 6GB RAM",,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps, stereo sound rec., HDR","8 MP, f/2.4, 1/4.0""",,1080p@30fps,"Li-Ion 3580 mAh, non-removable","18W wired, QC3",,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF",,,,
sony,https://www.gsmarena.com/sony_xperia_xz3-9232.php,Sony Xperia XZ3,158 x 73 x 9.9 mm (6.22 x 2.87 x 0.39 in),193 g (6.81 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"P-OLED, HDR BT.2020","6.0 inches, 92.9 cm 2 (~80.5% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~537 ppi density)",Corning Gorilla Glass 5,Triluminos display X-Reality Engine,"Android 9.0 (Pie), upgradable to Android 10",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,microSDXC (uses shared SIM slot) - dual SIM model only,"64GB 4GB RAM, 64GB 6GB RAM",UFS 2.1,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K@30fps, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS), 1080p@960fps, HDR","13 MP, f/1.9, 23mm (wide), 1/3.1"", 1.12µm",HDR,1080p@30fps (5-axis gyro-EIS),"Li-Ion 3300 mAh, non-removable","18W wired, PD2.0 Wireless (Qi)",,"19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF",,,,
sony,https://www.gsmarena.com/sony_xperia_xz2_premium-9166.php,Sony Xperia XZ2 Premium,158 x 80 x 11.9 mm (6.22 x 3.15 x 0.47 in),236 g (8.32 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"IPS LCD, HDR10","5.8 inches, 91.5 cm 2 (~72.4% screen-to-body ratio)","3840 x 2160 pixels, 16:9 ratio (~765 ppi density)",Corning Gorilla Glass 5,Runs at 1080 x 1920 pixels except for select use cases Triluminos display X-Reality Engine,"Android 8.0 (Oreo), upgradable to Android 10",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,microSDXC (uses shared SIM slot) - dual SIM model only,64GB 6GB RAM,UFS 2.1,"19 MP, f/1.8, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF 12 MP B/W, f/1.6, 1/2.3"", 1.55µm, predictive PDAF","Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps (5-axis gyro-EIS), 1080p@960fps, HDR","13 MP, f/2.0, 22mm (wide), 1/3.1"", 1.12µm",,1080p@30fps (5-axis gyro-EIS),"Li-Ion 3540 mAh, non-removable","18W wired, QC3 Wireless (Qi)",,,,,,
sony,https://www.gsmarena.com/sony_xperia_xz2-9081.php,sony_xperia_xz2-9081.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sony,https://www.gsmarena.com/sony_xperia_xz2_compact-9082.php,Sony Xperia XZ2 Compact,135 x 65 x 12.1 mm (5.31 x 2.56 x 0.48 in),168 g (5.93 oz),"Glass front (Gorilla Glass 5), plastic back, aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"IPS LCD, HDR BT.2020","5.0 inches, 64.5 cm 2 (~73.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~483 ppi density)",Corning Gorilla Glass 5,Triluminos display X-Reality Engine,"Android 8.0 (Oreo), upgradable to Android 10",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,microSDXC (uses shared SIM slot) - dual SIM model only,64GB 4GB RAM,UFS 2.1,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 1080p@960fps","5 MP, f/2.2, 23mm (wide), 1/5.0""",,1080p@30fps (gyro-EIS),"Li-Ion 2870 mAh, non-removable","18W wired, QC3",,"19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF",,,,
sony,https://www.gsmarena.com/sony_xperia_xa2_ultra-8985.php,Sony Xperia XA2 Ultra,163 x 80 x 9.5 mm (6.42 x 3.15 x 0.37 in),221 g (7.80 oz),"Glass front (Gorilla Glass 4), plastic back, aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,,IPS LCD,"6.0 inches, 99.2 cm 2 (~76.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Corning Gorilla Glass 4,,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (dedicated slot),"32GB 4GB RAM, 64GB 4GB RAM",,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps, stereo sound rec., HDR",,,1080p@30ps,"Li-Ion 3580 mAh, non-removable","18W wired, QC3",,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","16 MP, f/2.0, 23mm (wide), 1/2.6"", OIS, AF 8 MP, f/2.4, 1/4.0""",,,
sony,https://www.gsmarena.com/sony_xperia_xa2-8986.php,Sony Xperia XA2,142 x 70 x 9.7 mm (5.59 x 2.76 x 0.38 in),171 g (6.03 oz),"Glass front (Gorilla Glass 4), plastic back, aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,,IPS LCD,"5.2 inches, 74.5 cm 2 (~75.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Corning Gorilla Glass 4,,Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),32GB 3GB RAM,,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps, stereo sound rec., HDR","8 MP, f/2.4, 1/4.0""",,1080p@30fps,"Li-Ion 3300 mAh, non-removable","18W wired, QC3",,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF",,,,
