brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Single,Display | ,Selfie camera | Features,Main Camera | Triple,Main Camera | Quad
motorola,https://www.gsmarena.com/motorola_moto_g62_(india)-11754.php,Motorola Moto G62 (India),161.8 x 74 x 8.6 mm (6.37 x 2.91 x 0.34 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,Water-repellent design,"IPS LCD, 120Hz","6.5 inches, 102.0 cm 2 (~85.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,Android 12,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM",,,"LED flash, HDR, panorama",1080p@30/60fps,"16 MP, f/2.2, (wide), 1.0µm",1080p@30fps,Li-Po 5000 mAh,15W wired,,,,"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",
motorola,https://www.gsmarena.com/motorola_moto_g32-11733.php,Motorola Moto G32,161.8 x 73.8 x 8.5 mm (6.37 x 2.91 x 0.33 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back",· Nano-SIM · Nano-SIM + Nano-SIM,Water-repellent design,"IPS LCD, 90Hz","6.5 inches, 102.0 cm 2 (~85.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"Android 12, upgradable to Android 13",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, (wide), 1.0µm",1080p@30fps,Li-Po 5000 mAh,30W wired,,,,"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro/depth)",
motorola,https://www.gsmarena.com/motorola_moto_g62_5g-11602.php,Motorola Moto G62 5G,161.8 x 74 x 8.6 mm (6.37 x 2.91 x 0.34 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,Water-repellent design,"IPS LCD, 120Hz","6.5 inches, 102.0 cm 2 (~85.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"Android 12, upgradable to Android 13",Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm),Octa-core (2x2.2 GHz Kryo 460 & 6x1.8 GHz Kryo 460),Adreno 619,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",,,"LED flash, HDR, panorama",1080p@30/60fps,"16 MP, f/2.2, (wide), 1/3.0"", 1.0µm",1080p@30fps,Li-Po 5000 mAh,15W wired,,,,"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",
motorola,https://www.gsmarena.com/motorola_moto_g42-11608.php,Motorola Moto G42,160.4 x 73.5 x 8 mm (6.31 x 2.89 x 0.31 in),175 g (6.17 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,Water-repellent design,AMOLED,"6.4 inches, 98.9 cm 2 (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",,"Android 12, planned upgrade to Android 13",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.2, (wide), 1.0µm",1080p@30fps,Li-Po 5000 mAh,18W wired,,,,"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",
motorola,https://www.gsmarena.com/motorola_moto_e32s-11555.php,Motorola Moto E32s,164 x 75 x 8.5 mm (6.46 x 2.95 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back",· Nano-SIM · Nano-SIM + Nano-SIM,Water repellent design,"IPS LCD, 90Hz","6.5 inches, 102.0 cm 2 (~82.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,Android 11,Mediatek MT6765V/CB Helio G37 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Li-Po 5000 mAh,15W wired,,,HDR,"16 MP, f/2.2, 26mm (wide), 1.0µm, PDAF 2 MP (macro) Auxiliary lens",
motorola,https://www.gsmarena.com/motorola_moto_g71s-11531.php,Motorola Moto G71s,160.9 x 74.5 x 8 mm (6.33 x 2.93 x 0.31 in),173 g (6.10 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,Water-repellent design,"AMOLED, 1B colors, 120Hz","6.6 inches, 104.0 cm 2 (~86.8% screen-to-body ratio)",1080 x 2440 pixels (~404 ppi density),,Android 12,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (dedicated slot),128GB 8GB RAM,UFS,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.2, 17mm (ultrawide), 1.0µm",1080p@30fps,Li-Po 5000 mAh,33W wired,,,,"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF, OIS 8 MP, f/2.2, 121˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",
motorola,https://www.gsmarena.com/motorola_moto_g82-11508.php,Motorola Moto G82,160.9 x 74.5 x 8 mm (6.33 x 2.93 x 0.31 in),173 g (6.10 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,Water-repellent design,"AMOLED, 120Hz","6.6 inches, 103.6 cm 2 (~86.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,"Android 12, upgradable to Android 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM",UFS,,"LED flash, HDR, panorama",1080p@30/60fps,"16 MP, f/2.2, (wide), 1.0µm",1080p@30fps,Li-Po 5000 mAh,30W wired,,,,"50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF, OIS 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",
motorola,https://www.gsmarena.com/motorola_moto_e32-11485.php,Motorola Moto E32,164 x 75 x 8.5 mm (6.46 x 2.95 x 0.33 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back",· Nano-SIM · Nano-SIM + Nano-SIM,Water repellent design,"IPS LCD, 90Hz","6.5 inches, 103.5 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~268 ppi density)",,Android 11,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),64GB 4GB RAM,,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",1080p@30fps,Li-Po 5000 mAh,18W wired,,,HDR,"16 MP, f/2.2, 26mm (wide), 1.0µm, PDAF 2 MP (macro) Auxiliary lens",
motorola,https://www.gsmarena.com/motorola_edge_30-11500.php,Motorola Edge 30,159.4 x 74.2 x 6.8 mm (6.28 x 2.92 x 0.27 in),155 g (5.47 oz),"Glass front (Gorilla Glass 3), plastic frame, plastic back",· Nano-SIM · Nano-SIM + Nano-SIM,Water-repellent design,"AMOLED, 1B colors, 144Hz, HDR10+","6.5 inches, 102.0 cm 2 (~86.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",Corning Gorilla Glass 3,"Android 12, upgradable to Android 14",Qualcomm SM7325-AE Snapdragon 778G+ 5G (6 nm),Octa-core (1x2.5 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, 720p@960fps, HDR10, gyro-EIS","32 MP, f/2.3, (wide), 0.7µm","4K@30fps, 1080p@30/120fps",Li-Po 4020 mAh,33W wired,,,HDR,"50 MP, f/1.8, (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS 50 MP, f/2.2, 118˚ (ultrawide), 1/2.76"", 0.64µm, PDAF Auxiliary lens",
motorola,https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2022)-11462.php,Motorola Moto G Stylus 5G (2022),168.9 x 75.8 x 9.3 mm (6.65 x 2.98 x 0.37 in),215 g (7.58 oz),"Glass front, plastic frame, plastic back",Nano-SIM,Stylus Water-repellent design,"IPS LCD, 120Hz","6.8 inches, 109.8 cm 2 (~85.8% screen-to-body ratio)",1080 x 2460 pixels (~395 ppi density),,"Android 12, planned upgrade to Android 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,"LED flash, HDR, panorama",1080p@30/60fps; gyro-EIS,"16 MP, f/2.2, (wide), 1/3.06"", 1.0µm",1080p@30fps,Li-Po 5000 mAh,"10W wired, QC3",,,HDR,"50 MP, f/1.9, 26mm (wide), 0.64µm, PDAF, OIS 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0, 1.12µm Auxiliary lens",
