brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Triple,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Main Camera | Single,Display | ,Display | Protection,Main Camera | Quad
meizu,https://www.gsmarena.com/meizu_22_5g-14150.php,Meizu 22,152 x 71 x 8.2 mm (5.98 x 2.80 x 0.32 in),190 g (6.70 oz),"Glass front, aluminum frame",Nano-SIM + Nano-SIM,IP66/IP68 dust tight and water resistant (immersible up to 1.5m for 30 min; high pressure water jets),"LTPO OLED, 120Hz, HDR10+, 1800 nits (HBM), 6000 nits (peak)","6.3 inches, 95.7 cm 2 (~88.7% screen-to-body ratio)","1200 x 2670 pixels, 20:9 ratio (~465 ppi density)","Android 15, Flyme AIOS 2",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,"50 MP, f/1.7, 24mm (wide), 1/1.3"", PDAF, OIS 50 MP, f/2.5, 72mm (periscope telephoto), 1/1.95"", PDAF (15cm - ∞), OIS, 3x optical zoom 50 MP, f/2.1, 13mm, 122˚ (ultrawide), 1/2.88""","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS","50 MP, f/2.1, 22mm (wide), 1/2.88""",HDR,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",5510 mAh,"80W wired, PD3 PPS, QC4+ 66W wireless 10W reverse wireless",,,,,
meizu,https://www.gsmarena.com/meizu_note_22_pro_5g-13884.php,Meizu Note 22 Pro,163.8 x 76.2 x 8.4 mm (6.45 x 3.00 x 0.33 in),197.5 g (6.98 oz),,Nano-SIM + Nano-SIM,IP66/IP68 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Drop resistant up to 1.8m,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~88.9% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Flyme AIOS 2,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,"50 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.2, 15mm (ultrawide) 2 MP, f/2.4","LED flash, panorama, HDR","Yes, gyro-EIS","8 MP, f/2.1",HDR,Yes,6200 mAh,"80W wired, QC4+, PD3.0, PPS, 50% in 22 min",,,,,
meizu,https://www.gsmarena.com/meizu_note_22_5g-13883.php,Meizu Note 22,167.6 x 75.8 x 9.2 mm (6.60 x 2.98 x 0.36 in),217 g (7.65 oz),,Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"IPS LCD, 120Hz, 1050 nits (HBM), 5000 nits (peak)","6.78 inches, 109.2 cm 2 (~85.9% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),Flyme AIOS 2,Unisoc T8200 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",HDR,Yes,6600 mAh,"40W wired, QC3+","50 MP, f/1.8, 26mm (wide), PDAF Auxiliary lens",,,,
meizu,https://www.gsmarena.com/meizu_mblu_22_pro-13700.php,Meizu Mblu 22 Pro,170.8 x 77.5 x 8.5 mm (6.72 x 3.05 x 0.33 in),212 g (7.48 oz),,Nano-SIM + Nano-SIM,Splash resistant,"TFT LCD, 120Hz, 400 nits (HBM)","6.79 inches, 109.5 cm 2 (~82.7% screen-to-body ratio)",720 x 1640 pixels (~264 ppi density),Android 15,Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"128GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",eMMC 5.1,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",,Yes,Si/C Li-Ion 5000 mAh,18W wired,"50 MP, f/1.8, (wide), PDAF 2 MP (macro)",,,,
meizu,https://www.gsmarena.com/meizu_mblu_22-13699.php,Meizu Mblu 22,170.8 x 77.5 x 8.9 mm (6.72 x 3.05 x 0.35 in),200 g (7.05 oz),,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.79 inches, 109.5 cm 2 (~82.7% screen-to-body ratio)",720 x 1640 pixels (~264 ppi density),Android 15 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",eMMC 5.1,,"LED flash, panorama, HDR",Yes,"5 MP, f/2.2",,Yes,5000 mAh,10W wired,,"13 MP, f/1.8, 26mm (wide), AF auxiliary lens",,,
meizu,https://www.gsmarena.com/meizu_note_22-13698.php,Meizu Note 22 4G,165.2 x 75.5 x 8.4 mm (6.50 x 2.97 x 0.33 in),204 g (7.20 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, 550 nits (typ), 1200 nits (HBM), 1800 nits (peak)","6.78 inches, 109.9 cm 2 (~88.1% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 15, Flyme OS",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM",UFS 2.2,"108 MP, f/1.7, (wide), PDAF 8 MP, f/2.2, (ultrawide) 2 MP (macro)","LED flash, panorama, HDR",Yes,"32 MP, f/2.0",,Yes,5000 mAh,"40W wired, 40W PD, PD3",,,,,
meizu,https://www.gsmarena.com/meizu_note_16_5g-13862.php,Meizu Note 16,167.6 x 75.8 x 9.2 mm (6.60 x 2.98 x 0.36 in),217 g (7.65 oz),,Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"IPS LCD, 120Hz, 1050 nits (peak)","6.78 inches, 109.2 cm 2 (~85.9% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),Flyme AIOS 2,Unisoc T8200 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",HDR,Yes,6600 mAh,"40W wired, QC3+","50 MP, f/1.8, 26mm (wide), PDAF 2 MP, f/2.4",,,,
meizu,https://www.gsmarena.com/meizu_note_16_pro_5g-13861.php,Meizu Note 16 Pro,163.8 x 76.2 x 8.4 mm (6.45 x 3.00 x 0.33 in),197.5 g (6.98 oz),,Nano-SIM + Nano-SIM,IP66/IP68 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Drop resistant up to 1.8m,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~88.9% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Flyme AIOS 2,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,"50 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.2, 15mm (ultrawide) 2 MP, f/2.4","LED flash, panorama, HDR",Yes,"8 MP, f/2.1",HDR,Yes,6200 mAh,"80W wired, QC4+, PD3.0, PPS",,,,,
meizu,https://www.gsmarena.com/meizu_mblu_21-13530.php,Meizu mblu 21,-,-,,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.79 inches, 109.5 cm 2",720 x 1640 pixels (~264 ppi density),Android 14,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unspecified,64GB 4GB RAM,,,"LED flash, panorama, HDR",Yes,8 MP,,Yes,4900 mAh,,,"13 MP, AF auxiliary lens",,,
meizu,https://www.gsmarena.com/meizu_lucky_08-13365.php,Meizu Lucky 08,163 x 77.5 x 8.6 mm (6.42 x 3.05 x 0.34 in),202 g (7.13 oz),,Nano-SIM + Nano-SIM,,"LTPO AMOLED, 1B colors, 144Hz, HDR, 800 nits (typ), 5000 nits (peak)","6.78 inches, 111.7 cm 2 (~88.5% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Flyme AIOS,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,Unspecified,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",HDR,Yes,6000 mAh,"45W wired, QC4+, PD3.0, PPS","108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, PDAF 2 MP (macro)",,,,
meizu,https://www.gsmarena.com/meizu_note_21_pro-13341.php,Meizu Note 21 Pro,-,-,,Nano-SIM + Nano-SIM,,"IPS LCD, 120Hz, 550 nits","6.78 inches, 111.0 cm 2","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Flyme OS,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,256GB 8GB RAM,,,"LED flash, panorama, HDR",Yes,13 MP,,Yes,5000 mAh,30W wired,"64 MP, AF 2 MP",,,,
meizu,https://www.gsmarena.com/meizu_note_21-13342.php,Meizu Note 21,-,-,,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 450 nits","6.74 inches, 109.7 cm 2","720 x 1600 pixels*, 20:9 ratio (~260 ppi density)",Flyme OS,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC,256GB 8GB RAM,,,"LED flash, panorama, HDR",Yes,8 MP,,Yes,6000 mAh,18W wired,"50 MP, AF 2 MP",,* display resolution is not officially specified,,
meizu,https://www.gsmarena.com/meizu_blue_20-13212.php,Meizu Blue 20,8.3 mm thickness,-,,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.52 inches, 102.6 cm 2","1080 x 2400 pixels, 20:9 ratio (~404 ppi density)",Flyme AIOS,Unisoc T765 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 6GB RAM, 256GB 8GB RAM",,,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps",5 MP (interpolated to 8 MP),,1080p@30fps,5010 mAh,,"13 MP, AF (interpolated to 50 MP) Secondary unspecified camera",,,,
meizu,https://www.gsmarena.com/meizu_21_note-13007.php,Meizu 21 Note,162.4 x 76.9 x 8.2 mm (6.39 x 3.03 x 0.32 in),205 g (7.23 oz),"Glass front, aluminum frame, plastic back",Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"LTPO OLED, 1B colors, 144Hz, HDR10+, 800 nits (typ), 1600 nits (HBM), 5000 nits (peak)","6.78 inches, 111.7 cm 2 (~89.5% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Flyme OS,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 16GB RAM, 512GB 16GB RAM",UFS,,"Ring-LED flash, panorama, HDR","8K, 4K, 1080p; gyro-EIS","16 MP, f/2.5, (wide)",HDR,Yes,5500 mAh,"65W wired, PD3 PPS, QC4+","50 MP, f/1.7, 24mm (wide), 1/1.56"", PDAF, OIS 13 MP, f/2.4, 16mm, 122˚ (ultrawide), AF",,,,
meizu,https://www.gsmarena.com/meizu_21_pro-12805.php,Meizu 21 Pro,165 x 74.4 x 8 mm (6.50 x 2.93 x 0.31 in),208 g or 214 g (7.34 oz),,Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, HDR10+, 600 nits (typ), 1250 nits (HBM)","6.79 inches, 107.3 cm 2 (~87.4% screen-to-body ratio)","1368 x 3192 pixels, 21:9 ratio (~512 ppi density)",Flyme OS / Flyme AIOS 2,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,"50 MP, f/1.9, 24mm (wide), 1/1.3"", 1.2µm, PDAF, OIS 10 MP, f/2.0, 72mm (periscope telephoto), PDAF, OIS, 3x optical zoom 13 MP, f/2.4, 15mm, 122˚ (ultrawide)","Ring-LED flash, panorama, HDR","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",HDR,Yes,5050 mAh,"80W wired, PD3 PPS, QC4+ 50W wireless 10W reverse wireless",,,,Meizu Titan Glass 2.0,
meizu,https://www.gsmarena.com/meizu_21-12719.php,Meizu 21,156.7 x 75.3 x 7.9 mm (6.17 x 2.96 x 0.31 in),198 g (6.98 oz),"Glass front, glass back, aluminum frame",Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, HDR10+, 600 nits (typ), 1100 nits (HBM), 1800 nits (peak)","6.55 inches, 105.3 cm 2 (~89.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~393 ppi density)","Android 13, Flyme 10.5",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,"200 MP, f/1.7, 22mm (wide), 1/1.4"", PDAF, OIS 13 MP, f/2.4, 15mm, 122˚ (ultrawide), 1/3.1"" 5 MP, f/2.4, 27mm (wide), 1/5.0""","Ring-LED flash, panorama, HDR","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, (wide), 1/3.1""",HDR,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",4800 mAh,"80W wired, PD3 PPS, QC4+",,,,,
meizu,https://www.gsmarena.com/meizu_20_classic-12630.php,Meizu 20 Classic,157.9 x 73.5 x 8 mm (6.22 x 2.89 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)","6.55 inches, 103.6 cm 2 (~89.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 16GB RAM, 512GB 16GB RAM",UFS 4.0,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS 16 MP, f/2.4, 16mm, 122˚ (ultrawide) 5 MP, f/2.4","Ring-LED flash, panorama, HDR","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",HDR,Yes,Li-Po 4700 mAh,"67W wired, PD3 PPS, QC4+",,,,,
meizu,https://www.gsmarena.com/meizu_20_infinity-12207.php,Meizu 20 Infinity,163.4 x 73.3 x 8.2 mm (6.43 x 2.89 x 0.32 in),215 g (7.58 oz),,Nano-SIM + Nano-SIM,,"LTPO OLED, 1B colors, 120Hz, 600 nits (typ), 1800 nits (peak)","6.79 inches, 107.7 cm 2 (~89.9% screen-to-body ratio)","1368 x 3192 pixels, 21:9 ratio (~511 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",UFS 4.0,"50 MP, f/1.8, 23mm (wide), 1/1.56"", PDAF, OIS 12 MP f/2.0, 50mm (telephoto), 1/2.9"", PDAF, OIS, optical zoom 12 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.55""","LED flash, panorama, HDR","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",HDR,Yes,Li-Po 4800 mAh,"65W wired, PD PPS, QC4 50W wireless",,,,,
meizu,https://www.gsmarena.com/meizu_20_pro-12161.php,Meizu 20 Pro,164.2 x 76.4 x 7.8 mm (6.46 x 3.01 x 0.31 in),209 g (7.37 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"LTPO OLED, 120Hz, HDR10+, 500 nits (typ), 1800 nits (peak)","6.81 inches, 112.0 cm 2 (~89.3% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~515 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0 - 512GB,"50 MP, f/1.9, (wide), PDAF, OIS 50 MP f/1.9, (telephoto), PDAF, 2x optical zoom 50 MP, f/2.2, 129˚ (ultrawide)","Ring-LED flash, panorama, HDR","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",HDR,Yes,Li-Po 5000 mAh,"80W wired, PD3 PPS, QC4+ 50W wireless",,,,,
meizu,https://www.gsmarena.com/meizu_20-12206.php,Meizu 20,157.9 x 73.5 x 8 mm (6.22 x 2.89 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)","6.55 inches, 103.6 cm 2 (~89.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0 UFS 3.1 - 128GB only,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS 16 MP, f/2.4, 16mm, 122˚ (ultrawide) 5 MP, f/2.4","Ring-LED flash, panorama, HDR","8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",HDR,Yes,Li-Po 4700 mAh,"67W wired, PD3 PPS, QC4+",,,,,
meizu,https://www.gsmarena.com/meizu_18s_pro-11075.php,Meizu 18s Pro,162.5 x 73 x 8.1 mm (6.40 x 2.87 x 0.32 in),189 g (6.67 oz),,Nano-SIM + Nano-SIM,Waterproof,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)","6.7 inches, 107.6 cm 2 (~90.7% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)","Android 11, Flyme 9.2",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS 8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom 32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm 0.3 MP, TOF 3D, f/1.4, (depth)","LED flash, HDR, panorama","8K, 4K@30/60fps, 1080p; gyro-EIS, HDR","44 MP, f/2.4, (wide), 1/2.65”, 0.7µm",HDR,"4K@30fps, 1080p@30fps",Li-Po 4500 mAh,"40W wired, PD3.0, QC4, 40% in 15 min, 100% in 55 min 40W wireless 10W reverse wireless",,,,Corning Gorilla Glass 6,
meizu,https://www.gsmarena.com/meizu_18s-11115.php,Meizu 18s,152.4 x 69.2 x 8.2 mm (6.00 x 2.72 x 0.32 in),162 g (5.71 oz),,Nano-SIM + Nano-SIM,,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)","6.2 inches, 93.8 cm 2 (~88.9% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~563 ppi density)","Android 11, Flyme 9.2",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"64 MP, f/1.6, 26mm (wide), 1/1.73"", 0.8µm, PDAF, OIS 8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom 16 MP, f/2.2, 15mm, 122˚ (ultrawide), 1/3.0"", 1.0µm","Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p; gyro-EIS","20 MP, f/2.2, 26mm (wide), 1/3.4"", 0.8µm",HDR,1080p@30fps,Li-Po 4000 mAh,"36W wired, PD3.0, QC3, 80% in 33 min, 100% in 55 min",,,,,
meizu,https://www.gsmarena.com/meizu_18x-11116.php,Meizu 18x,165.1 x 76.4 x 8 mm (6.5 x 3.01 x 0.31 in),189 g (6.67 oz),,Nano-SIM + Nano-SIM,,"OLED, 1B colors, 120Hz, 500 nits (typ), 700 nits (peak)","6.67 inches, 107.4 cm 2 (~85.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 11, Flyme 9.2",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm Auxiliary lens","LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.0, (wide)",HDR,1080p@30fps,Li-Po 4300 mAh,"30W wired, PD3.0, QC4, 70% in 30 min, 100% in 60 min",,,,,
meizu,https://www.gsmarena.com/meizu_watch-10939.php,Meizu Watch,46 x 38.4 x 13 mm (1.81 x 1.51 x 0.51 in),43 g (1.52 oz),"Glass front (Gorilla Glass), ceramic back, aluminum frame",eSIM,Swimproof,"AMOLED, 450 nits (typ)",1.78 inches,368 x 448 pixels (~326 ppi density),Flyme,Qualcomm Snapdragon Wear 4100 (12 nm),Quad-core 1.7 GHz Cortex-A53,Adreno 504,No,8GB 1GB RAM,eMMC 4.5,,,,,,,Li-Ion 430 mAh,,,,,Corning Gorilla Glass,
