brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Triple,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Main Camera | Single,Display | ,Display | Protection,Main Camera | Quad
meizu,https://www.gsmarena.com/meizu_zero-9528.php,Meizu Zero,149.8 x 74.3 x 7.9 mm (5.90 x 2.93 x 0.31 in),-,"Glass front, ceramic back, ceramic frame",eSIM,IP68 dust tight and water resistant,AMOLED,"5.99 inches, 88.1 cm 2 (~79.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~430 ppi density)",Android 8.1 (Oreo),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,No,"128GB 6GB RAM, 128GB 8GB RAM",,,"Dual-LED dual-tone flash, panorama","4K@30fps, 1080p@30fps","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion, non-removable",18W wireless,"12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF 20 MP, PDAF",,,,
meizu,https://www.gsmarena.com/meizu_c9_pro-9453.php,Meizu C9 Pro,146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),150 g (5.29 oz),,Nano-SIM + Nano-SIM,,IGZO IPS LCD,"5.45 inches, 76.7 cm 2 (~73.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 8.0 (Oreo), Flyme UI",Unisoc SC9832E,Quad-core 1.3 GHz Cortex-A53,Mali-820MP1,microSDXC,32GB 3GB RAM,,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,,"Li-Ion 3000 mAh, removable",,,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",,,
meizu,https://www.gsmarena.com/meizu_c9-9454.php,Meizu C9,146.2 x 71.2 x 9.7 mm (5.76 x 2.80 x 0.38 in),150 g (5.29 oz),,Nano-SIM + Nano-SIM,,IGZO IPS LCD,"5.45 inches, 76.7 cm 2 (~73.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 8.0 (Oreo), Flyme UI",Unisoc SC9832E,Quad-core 1.3 GHz Cortex-A53,Mali-820MP1,microSDXC (dedicated slot),16GB 2GB RAM,,,"LED flash, panorama",1080p@30fps,"8 MP, f/2.2, 1/4.0"", 1.12µm",,,"Li-Ion 3000 mAh, removable",,,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",,,
meizu,https://www.gsmarena.com/meizu_note_8-9384.php,Meizu Note 8,153.6 x 75.5 x 7.9 mm (6.05 x 2.97 x 0.31 in),168 g (5.93 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"6.0 inches, 92.9 cm 2 (~80.1% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 8.0 (Oreo), Flyme 7.3",Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,No,64GB 4GB RAM,eMMC 5.1,,"Dual-LED dual-tone flash, panorama",1080p@30fps,"8 MP, f/2.0",,,"Li-Ion 3600 mAh, non-removable",24W wired,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF Auxiliary lens",,,,
meizu,https://www.gsmarena.com/meizu_x8-9341.php,Meizu X8,151.2 x 74.6 x 7.8 mm (5.95 x 2.94 x 0.31 in),160 g (5.64 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"6.2 inches, 97.6 cm 2 (~86.5% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~398 ppi density)","Android 8.0 (Oreo), Flyme UI",Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,No,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",,,"Dual-LED dual-tone flash, panorama",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,,"Li-Ion 3210 mAh, non-removable",,"12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF 5 MP",,,,
meizu,https://www.gsmarena.com/meizu_v8_pro-9338.php,Meizu V8 Pro,147.5 x 72.7 x 8.1 mm (5.81 x 2.86 x 0.32 in),159 g (5.61 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"5.7 inches, 83.8 cm 2 (~78.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 8.0 (Oreo), Flyme UI",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC,64GB 4GB RAM,eMMC 5.1,,"Dual-LED dual-tone flash, panorama",1080p@30fps,"5 MP, f/1.9",,,"Li-Ion 3100 mAh, non-removable",,"12 MP, f/2.2, AF 5 MP, f/2.2",,,,
meizu,https://www.gsmarena.com/meizu_v8-9339.php,Meizu V8,148 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in),145 g (5.11 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"5.7 inches, 83.8 cm 2 (~77.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 8.0 (Oreo), Flyme UI",Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDXC,32GB 3GB RAM,eMMC 5.1,,"Dual-LED dual-tone flash, panorama",1080p@30fps,"5 MP, f/1.9",,,"Li-Ion 3200 mAh, non-removable",,,"13 MP, f/2.2, AF",,,
meizu,https://www.gsmarena.com/meizu_16x-9337.php,Meizu 16X,151 x 73.5 x 7.5 mm (5.94 x 2.89 x 0.30 in),154 g (5.43 oz),,Nano-SIM + Nano-SIM,,Super AMOLED,"6.0 inches, 92.9 cm 2 (~83.7% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 8.0 (Oreo), Flyme UI",Qualcomm SDM710 Snapdragon 710 (10 nm),Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,No,"64GB 6GB RAM, 128GB 6GB RAM",,,"Laser AF, Six-LED dual-tone flash, Auto-HDR, panorama","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion 3100 mAh, non-removable",,"12 MP, f/1.8, 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS 20 MP, f/2.6, 1/2.6"", 1.0µm, AF",,,,
meizu,https://www.gsmarena.com/meizu_16-9280.php,Meizu 16,150.5 x 73.2 x 7.3 mm (5.93 x 2.88 x 0.29 in),152 g (5.36 oz),,Nano-SIM + Nano-SIM,,Super AMOLED,"6.0 inches, 92.9 cm 2 (~84.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 8.1 (Oreo), Flyme UI",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,"64GB 6GB RAM, 128GB 8GB RAM",UFS 2.1,,"Laser AF, Six-LED dual-tone flash, Auto-HDR, panorama","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, 27mm (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion 3010 mAh, non-removable",24W wired,"12 MP, f/1.8, 25mm (wide), 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS 20 MP, f/2.6, 1/2.6"", 1.0µm",,,,
meizu,https://www.gsmarena.com/meizu_16_plus-9279.php,Meizu 16 Plus,160.4 x 78.2 x 7.3 mm (6.31 x 3.08 x 0.29 in),182 g (6.42 oz),,Nano-SIM + Nano-SIM,,Super AMOLED,"6.5 inches, 107.9 cm 2 (~86.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~374 ppi density)","Android 8.1 (Oreo), Flyme UI",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,"Laser AF, Six-LED dual-tone flash, Auto-HDR, panorama","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion 3570 mAh, non-removable",24W wired,"12 MP, f/1.8, 1/2.3"", 1.55µm, dual pixel PDAF, 4-axis OIS 20 MP, f/2.6, 1/2.6"", 1.0µm, AF",,,,
meizu,https://www.gsmarena.com/meizu_m6t-9213.php,Meizu M6T,152.3 x 73 x 8.4 mm (6.00 x 2.87 x 0.33 in),145 g (5.11 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,IPS LCD,"5.7 inches, 83.8 cm 2 (~75.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 7.0 (Nougat), Flyme UI",Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",eMMC 5.1,,"LED flash, panorama",1080p@30fps,"8 MP, f/2.0",,,"Li-Ion 3300 mAh, non-removable",,"13 MP, f/2.2, PDAF Auxiliary lens",,,,
meizu,https://www.gsmarena.com/meizu_m8c-9210.php,Meizu M8c,146.4 x 70 x 8.5 mm (5.76 x 2.76 x 0.33 in),140 g (4.94 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"5.45 inches, 76.7 cm 2 (~74.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 7.0 (Nougat), Flyme UI",Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC (uses shared SIM slot),"16GB 2GB RAM, 32GB 2GB RAM",eMMC 5.1,,LED flash,1080p@30fps,"8 MP, f/2.0",,,"Li-Ion 3070 mAh, non-removable",,,"13 MP, f/2.2, PDAF",,,
meizu,https://www.gsmarena.com/meizu_15_plus-9160.php,Meizu 15 Plus,153.8 x 78.3 x 7.3 mm (6.06 x 3.08 x 0.29 in),177 g (6.24 oz),,Nano-SIM + Nano-SIM,,Super AMOLED,"5.95 inches, 97.6 cm 2 (~81.0% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~494 ppi density)","Android 7.1.2 (Nougat), Flyme 7.3",Exynos 8895 (10 nm),Octa-core (4x2.5 GHz Mongoose M2 & 4x1.7 GHz Cortex-A53),Mali-G71 MP20,No,"64GB 6GB RAM, 128GB 6GB RAM",UFS 2.1,,"Laser AF, Six-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion 3500 mAh, non-removable",24W wired,"12 MP, f/1.8, 1/2.3"", 1.55 µm, dual pixel PDAF, 4-axis OIS 20 MP, 1/2.8"", 1.0 µm, AF, portraits only",,,,
meizu,https://www.gsmarena.com/meizu_15-9159.php,Meizu 15,143 x 72 x 7.3 mm (5.63 x 2.83 x 0.29 in),152 g (5.36 oz),,Nano-SIM + Nano-SIM,,Super AMOLED,"5.46 inches, 82.2 cm 2 (~79.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","Android 7.1.2 (Nougat), Flyme 7.3",Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,No,"64GB 4GB RAM, 128GB 4GB RAM",eMMC 5.1,,"Laser AF, Six-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion 3000 mAh, non-removable",24W wired,"12 MP, f/1.8, 1/2.3"", 1.55 µm, dual pixel PDAF, 4-axis OIS 20 MP, 1/2.8"", 1.0 µm, AF, portraits only",,,,
meizu,https://www.gsmarena.com/meizu_15_lite-9158.php,Meizu 15 Lite,143.6 x 72.4 x 7.5 mm (5.65 x 2.85 x 0.30 in),145 g (5.11 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"5.46 inches, 82.2 cm 2 (~79.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","Android 7.1.2 (Nougat), Flyme 7",Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),64GB 4GB RAM,eMMC 5.1,,"Six-LED dual-tone flash, HDR, panorama",1080p@30fps,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,1080p@30fps,"Li-Ion 3000 mAh, non-removable",18W wired,,"12 MP, f/1.9, 1.4 µm, dual pixel PDAF",,,
meizu,https://www.gsmarena.com/meizu_e3-9066.php,Meizu E3,156.8 x 75 x 7.6 mm (6.17 x 2.95 x 0.30 in),160 g (5.64 oz),"Glass front, aluminum back, aluminum frame",Nano-SIM + Nano-SIM,,IPS LCD,"5.99 inches, 92.6 cm 2 (~78.7% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Android 7.1.2 (Nougat), Flyme 7",Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (uses shared SIM slot),"64GB 6GB RAM, 128GB 6GB RAM",eMMC 5.1,,"Dual-LED dual tone flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 1/3.2"", 1.4µm",,1080p@30fps,"Li-Ion 3360 mAh, non-removable","24W wired, 53% in 30 min","12 MP, f/1.9, 1/2.55"", 1.4µm, dual pixel PDAF 20 MP, f/2.6, 1/2.8"", 1.0µm, PDAF",,,,
