brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Main Camera | Triple,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Main Camera | Single,Display | ,Memory | ,Selfie camera | Dual,Main Camera | Quad
honor,https://www.gsmarena.com/honor_500_5g-14296.php,Honor 500,155.8 x 74.2 x 7.8 mm (6.13 x 2.92 x 0.31 in),198 g (6.98 oz),"Glass front, aluminum frame",Nano-SIM + Nano-SIM,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR Vivid, 6000 nits (peak)","6.55 inches, 105.4 cm 2 (~91.2% screen-to-body ratio)","1264 x 2736 pixels, 19.5:9 ratio (~460 ppi density)",Aluminosilicate glass,"Android 16, MagicOS 10",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,"LED flash, HDR, panorama","4K, 1080p, gyro-EIS, OIS","50 MP, f/2.0, (wide)",HDR,"4K, 1080p, gyro-EIS",Si/C Li-Ion 8000 mAh,80W wired 5W reverse wired,"200 MP, f/1.9, (wide), 1/1.4"", 0.56µm, PDAF, OIS 12 MP, f/2.2, 117˚ (ultrawide), AF",,,,,
honor,https://www.gsmarena.com/honor_magic8_pro_5g-14231.php,Honor Magic8 Pro,161.2 x 75 x 8.3 mm (6.35 x 2.95 x 0.33 in),219 g (7.72 oz),"Glass front (NanoCrystal Shield), glass-fiber reinforced plastic back, aluminum frame",· Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time) - International · Nano-SIM + Nano-SIM - China,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"LTPO OLED, 1B colors, 120Hz, 4320Hz PWM, Dolby Vision, HDR Vivid, 1800 nits (HBM), 6000 nits (peak)","6.71 inches, 108.3 cm 2 (~89.6% screen-to-body ratio)","1256 x 2808 pixels, 20:9 ratio (~458 ppi density)","NanoCrystal Shield (INT); Giant Rhino Glass (China), Mohs level 4","Android 16, up to 7 major Android upgrades, MagicOS 10",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.3"", 1.2µm, multi-directional PDAF, OIS 200 MP, f/2.6, 85mm (periscope telephoto), 1/1.4"", 0.56µm, multi-directional PDAF, OIS, 3.7x optical zoom 50 MP, f/2.0, 12mm, 122˚ (ultrawide), 1/2.88"", 0.61µm, dual pixel PDAF","Laser AF, color spectrum sensor, LED flash, HDR, panorama","4K@24/30/60/120fps, 1080p@24/30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video","50 MP, f/2.0, 21mm (wide), 1/2.93"", 0.6µm TOF 3D, (depth/biometrics sensor)",,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",Si/C Li-Ion 7100 mAh (Global); 6270 mAh (Europe); 7200 mAh (China),"100W wired (Global) 120W wired, 100W PPS, 40W UFCS (China) 80W wireless Reverse wireless 5W reverse wired",,,HDR image support,UFS 4.1,,
honor,https://www.gsmarena.com/honor_magic8_5g-14232.php,Honor Magic8,157.1 x 74 x 8 mm (6.19 x 2.91 x 0.31 in),205 g (7.23 oz),,Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"LTPO OLED, 1B colors, 120Hz, 4320Hz PWM, Dolby Vision, HDR Vivid, 1800 nits (HBM), 6000 nits (peak)","6.58 inches, 105.3 cm 2 (~90.6% screen-to-body ratio)",1256 x 2760 pixels (~461 ppi density),Giant Rhino Glass,"Android 16, up to 7 major Android upgrades, MagicOS 10",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 64 MP, f/2.5, (telephoto), PDAF, OIS, 3x optical zoom 50 MP, f/2.0, 12mm, 122˚ (ultrawide), 1/2.88"", 0.61µm, dual pixel PDAF","Color spectrum sensor, LED flash, HDR, panorama","4K@24/30/60fps, 1080p@24/30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video","50 MP, f/2.0, 21mm (wide), 1/2.93"", 0.6µm",,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",Si/C Li-Ion 7000 mAh,"90W wired, 90W PPS, 40W UFCS 80W wireless Reverse wireless 5W reverse wired",,,HDR image support,UFS 4.0,,
honor,https://www.gsmarena.com/honor_watch_5_pro-14242.php,Honor Watch 5 Pro,46.3 x 46.3 x 11.3 mm (1.82 x 1.82 x 0.44 in),51 g (1.80 oz),,eSIM,5 ATM IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Compatible with standard 22mm straps,LTPO AMOLED,1.5 inches,464 x 464 pixels (~310 ppi density),,MagicOS,,,,No,8GB 64MB RAM,,,,,,,Li-Po 515 mAh,Wireless,,,,,,
honor,https://www.gsmarena.com/honor_magicpad_3_pro-14243.php,Honor MagicPad3 Pro 13.3,293.9 x 201.4 x 5.8 mm (11.57 x 7.93 x 0.23 in),595 g (1.31 lb),,No,Stylus support,"IPS LCD, 1B colors, 165Hz, HDR Vivid, 1100 nits (peak)","13.3 inches, 527.0 cm 2 (~89.0% screen-to-body ratio)","2136 x 3200 pixels, 3:2 ratio (~289 ppi density)",,"Android 16, MagicOS 10",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,LED flash,"4K@30fps, 1080p@30fps","9 MP, f/2.2",,"4K@30fps, 1080p@30fps",Si/C Li-Ion 12450 mAh,80W wired 5W reverse wired,"13 MP, f/2.0, AF 2 MP (macro)",,,,,
honor,https://www.gsmarena.com/honor_play10a-14253.php,Honor Play10A,167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,,"TFT LCD, 90Hz","6.74 inches, 109.7 cm 2 (~85.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, MagicOS 9",Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (uses shared SIM slot),128GB 4GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5260 mAh,15W wired,,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",,,,
honor,https://www.gsmarena.com/honor_x5c-14251.php,Honor X5c,167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,,"TFT LCD, 90Hz","6.74 inches, 109.7 cm 2 (~85.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, MagicOS 9",Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5260 mAh,15W wired,,"· 50 MP, f/1.8, (wide), PDAF - LATAM only · 13 MP, f/2.2, (wide) - MEA, SEA, AF, Eurasia Auxiliary lens",,,,
honor,https://www.gsmarena.com/honor_x5c_plus-14156.php,Honor X5c Plus,167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,,"TFT LCD, 90Hz","6.74 inches, 109.7 cm 2 (~85.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, MagicOS 9",Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM, 256GB 6GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5260 mAh,15W wired,,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",,,,
honor,https://www.gsmarena.com/honor_x6b_5g-14195.php,Honor X6b,166.9 x 76.8 x 8.1 mm (6.57 x 3.02 x 0.32 in),191 g or 193 g (6.74 oz),,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"TFT LCD, 120Hz, 850 nits (peak)","6.77 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)","720 x 1610 pixels, 20:9 ratio (~261 ppi density)",Aluminosilicate glass,"Android 14, MagicOS 8",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,256GB 4GB RAM,,"LED flash, HDR",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5200 mAh,35W wired Reverse wired,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",,,UFS 3.1,,
honor,https://www.gsmarena.com/honor_x9d_5g-14176.php,Honor X9d,161.9 x 76.1 x 7.8 mm (6.37 x 3.00 x 0.31 in),193 g (6.81 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 6m) Drop resistant up to 2.5m,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 6000 nits (peak)","6.79 inches, 112.1 cm 2 (~90.9% screen-to-body ratio)",1200 x 2640 pixels (~427 ppi density),Aluminosilicate glass,"Android 15, Magic OS 9",Qualcomm Snapdragon 6 Gen 4 (4 nm),Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s),Adreno 810,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.5, 24mm (wide)",,1080p@30fps,Si/C Li-Ion 8300 mAh,66W wired 7.5W reverse wired,"108 MP, f/1.8, 24mm (wide), PDAF, 1/1.67"", 1.0µm, OIS 5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm",,,,,
