brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Single,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Body | Build,Display | Protection,Display | ,Main Camera | Triple,Main Camera | Dual,Selfie camera | Features,Selfie camera | Dual,Main Camera | Quad
tecno,https://www.gsmarena.com/tecno_megapad_pro-14244.php,Tecno Megapad Pro,6.0 mm thickness,547 g (1.21 lb),No,,"IPS LCD, 90Hz, 450 nits","12.0 inches, 409.9 cm 2","1200 x 2000 pixels, 5:3 ratio (~194 ppi density)",Android 15,,,,microSDXC,Up to 256GB,,13 MP,LED flash,1080p@30fps,Yes,Yes,10000 mAh,33W wired,,,,,,,,
tecno,https://www.gsmarena.com/tecno_pova_slim_5g-14111.php,tecno_pova_slim_5g-14111.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_slim-14112.php,Tecno Spark Slim,164.2 x 75.9 x 5.9 mm (6.46 x 2.99 x 0.23 in),156 g (5.50 oz),Nano-SIM,IP64 dust tight and water resistant (water splashes) Status light LED (on the back) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 144Hz, 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.1% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)","Android 15, HIOS 15",Mediatek Helio G200 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),No,256GB 8GB RAM,,"50 MP, (wide), PDAF",Dual-LED flash,"1440p@30fps, 1080p@30fps","13 MP, (wide)",Yes,5160 mAh,"45W wired, 100% in 57 min 10W reverse wired Bypass charging","Glass front (Gorilla Glass 7i), glass-fiber reinforced plastic back",Corning Gorilla Glass 7i,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_40_5g-14568.php,Tecno Spark 40,167.7 x 77.9 x 8 mm (6.60 x 3.07 x 0.31 in),194 g (6.84 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"IPS LCD, 120Hz","6.75 inches, 110.0 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","Android 15, HIOS 15",Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 256GB 8GB RAM",,50 MP,Dual-LED flash,"1440p@30fps, 1080p@30fps",5 MP,Yes,Li-Po 6000 mAh,18W wired,"Glass front, plastic back, plastic frame",,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_go_5g-14074.php,Tecno Spark Go,167.7 x 77.9 x 8 mm (6.60 x 3.07 x 0.31 in),194 g (6.84 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"IPS LCD, 120Hz","6.75 inches, 110.0 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","Android 15, HIOS 15",Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 256GB 8GB RAM",,50 MP,Dual-LED flash,"1440p@30fps, 1080p@30fps",5 MP,Yes,Li-Po 6000 mAh,18W wired,"Glass front, plastic back, plastic frame",,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_40c-14052.php,Tecno Spark 40C,165.6 x 77 x 8.4 mm (6.52 x 3.03 x 0.33 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz","6.67 inches, 107.4 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)","Android 15, HIOS 15.1",Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Unspecified,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"13 MP, f/1.8, 27mm (wide), PDAF","Dual-LED flash, HDR",1080p@30fps,8 MP,Yes,6000 mAh,18W wired,"Glass front, plastic back, plastic frame",,,,,,,
tecno,https://www.gsmarena.com/tecno_pova_7_pro_5g-13990.php,Tecno Pova 7 Pro,163.5 x 75.9 x 8.2 mm (6.44 x 2.99 x 0.32 in),195 g (6.88 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Status light LED (on the back),"AMOLED, 144Hz, 2304Hz PWM, 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.4% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)","Android 15, HIOS 15",Mediatek Dimensity 7300 Ultimate (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,,Dual-LED flash,"4K@30fps, 1080p@30fps","13 MP, (wide)",Yes,Li-Po 6000 mAh,"45W wired, 50% in 26 min, 100% in 61 min 30W wireless (magnetic) 10W reverse wired",,Corning Gorilla Glass 7i,,,"64 MP, (wide), 1/1.73"", PDAF 8 MP, (ultrawide)",,,
tecno,https://www.gsmarena.com/tecno_pova_7_5g-13991.php,tecno_pova_7_5g-13991.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_40_pro+-13986.php,Tecno Spark 40 Pro+,163.9 x 75.8 x 6.5 mm (6.45 x 2.98 x 0.26 in),160.4 g (5.64 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"AMOLED, 1B colors, 144Hz, 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.3% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)","Android 15, up to 3 major Android upgrades, HIOS 15",Mediatek Helio G200 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),No,"128GB 8GB RAM, 256GB 8GB RAM",,"50 MP, f/1.6, (wide), 1/2.8"", 0.64µm, PDAF Auxiliary lens","Dual-LED flash, HDR","1440p@30fps, 1080p@30fps, gyro-EIS","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm",1080p@30fps,5200 mAh,"45W wired, 100% in 55 min 30W wireless 5W reverse wireless 10W reverse wired Bypass charging","Glass front (Gorilla Glass 7i), plastic back, plastic frame",Corning Gorilla Glass 7i,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_spark_40_pro-13985.php,Tecno Spark 40 Pro,163.7 x 75.9 x 6.7 mm (6.44 x 2.99 x 0.26 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"AMOLED, 1B colors, 144Hz, 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.3% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)","Android 15, HIOS 15.1",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,"50 MP, f/1.6, (wide), 1/2.8"", 0.64µm, PDAF Auxiliary lens","Dual-LED flash, HDR","1440p@30fps, 1080p@30fps","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm",1080p@30fps,5200 mAh,45W wired 10W reverse wired,"Glass front (Gorilla Glass 7i), plastic back, plastic frame",Corning Gorilla Glass 7i,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_spark_40_4g-13984.php,Tecno Spark 40 4G,165.6 x 77 x 7.7 mm (6.52 x 3.03 x 0.30 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz","6.67 inches, 107.4 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)","Android 15, HIOS 15",Mediatek Helio G81 (12 nm) Mediatek Helio G91 (12 nm) - NFC model,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",,"50 MP, (wide), PDAF Auxiliary lens",Dual-LED flash,"1440p@30fps, 1080p@30fps","8 MP, (wide)",1080p@30fps,5200 mAh,"45W wired, 55 min to 100%",,,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_pova_7_ultra_5g-13976.php,Tecno Pova 7 Ultra,160 x 75.2 x 8.9 mm (6.30 x 2.96 x 0.35 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Status light LED (on the back),"AMOLED, 1B colors, 144Hz, 2592Hz PWM, 4500 nits (peak)","6.67 inches, 107.4 cm 2 (~89.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~460 ppi density)","Android 15, HIOS 15",Mediatek Dimensity 8350 Ultimate (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,"256GB 8GB RAM, 256GB 12GB RAM",,,Dual-LED flash,"4K@30/60fps, 1080p@30/60fps","13 MP, (wide)","4K@30fps, 1080p@30/60fps",6000 mAh,"70W wired, 50% in 18 min, 100% in 44 min 30W wireless (magnetic) 10W reverse wired Bypass charging","Glass front (Gorilla Glass 7i), plastic frame, plastic back",Corning Gorilla Glass 7i,,,"108 MP, (wide), 0.7µm, PDAF 8 MP, (ultrawide)",,,
tecno,https://www.gsmarena.com/tecno_pova_7-13974.php,Tecno Pova 7 4G,168.6 x 76.6 x 9.3 mm (6.64 x 3.02 x 0.37 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 120Hz","6.78 inches, 109.2 cm 2 (~84.5% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),"Android 15, HIOS 15",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",,,Dual-LED flash,"1440p@30fps, 1080p@30/60fps","8 MP, f/2.0, 26mm (wide)","1440p@30fps, 1080p@30fps",7000 mAh,"45W wired, 50% in 29 min, 100% in 70 min 10W reverse wired",,,,,"108 MP, f/1.8, 23mm (wide), 0.7µm, PDAF 2 MP (macro)",,,
tecno,https://www.gsmarena.com/tecno_spark_go_2-13975.php,Tecno Spark Go 2,165.6 x 77 x 8.3 mm (6.52 x 3.03 x 0.33 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz","6.67 inches, 107.4 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)","Android 15, HIOS 15",Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",eMMC 5.1,"13 MP, f/1.8, 27mm (wide), PDAF","Dual-LED flash, HDR",1080p@30fps,8 MP,Yes,5000 mAh,15W wired,"Glass front, plastic back, plastic frame",,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_pova_curve_5g-13915.php,Tecno Pova Curve,164.3 x 74.6 x 7.5 mm (6.47 x 2.94 x 0.30 in),188.5 g (6.67 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 144Hz, 2304Hz PWM, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~89.7% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 15, planned upgrade to Android 16, HIOS 15",Mediatek Dimensity 7300 Ultimate (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps",13 MP,"4K@30fps, 1080p@30fps",Li-Po 5500 mAh,"45W wired, 50% in 15 min, 100% in 45 min","Glass front (Gorilla Glass 7i), plastic frame, plastic back",Corning Gorilla Glass 7i,,,"64 MP, f/1.8, (wide), 1/1.73"", 0.8µm, PDAF Auxiliary lens",,,
tecno,https://www.gsmarena.com/tecno_camon_40_premier-13694.php,Tecno Camon 40 Premier,161 x 75 x 7.7 mm (6.34 x 2.95 x 0.30 in),193 g (6.81 oz),Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min),"LTPO AMOLED, 1B colors, 144Hz, 2160Hz PWM, HDR, 1600 nits (HBM)","6.67 inches, 107.4 cm 2 (~89.0% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~460 ppi density)","Android 15, up to 3 major Android upgrades, HIOS 15",Mediatek Dimensity 8350 (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,256GB 12GB RAM,UFS 4.x,,"Dual-LED flash, HDR, panorama","4K@30/60fps (HDR), 1080p@30fps","50 MP, f/2.5, 24mm (wide), 1/2.8"", 0.64µm, PDAF","4K@30fps, 1080p",Si/C Li-Ion 5100 mAh,70W wired,"Glass front (Gorilla Glass 7i), plastic back, plastic frame",Corning Gorilla Glass 7i,HDR image support,"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/2.2, 70mm (periscope telephoto), 1/2.76"", 0.64µm, PDAF (15cm - ∞), 3x optical zoom 50 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.76"", 0.64µm, PDAF",,,,
tecno,https://www.gsmarena.com/tecno_camon_40_pro_5g-13695.php,Tecno Camon 40 Pro,164.3 x 74.6 x 7.3 mm (6.47 x 2.94 x 0.29 in),179 g (6.31 oz),Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min),"AMOLED, 144Hz","6.78 inches, 109.9 cm 2 (~89.7% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 15, up to 3 major Android upgrades, HIOS 15",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"256GB 8GB RAM, 256GB 12GB RAM",UFS 2.x,,"Dual-LED flash, HDR, panorama","4K@30/60fps (HDR), 1080p@30fps","50 MP, f/2.5, 24mm (wide), 1/2.8"", 0.64µm, PDAF","4K@30fps, 1080p@30/60fps",5200 mAh,"45W wired, 50% in 23 min, 100% in 43 min","Glass front (Gorilla Glass 7i), plastic back, plastic frame",Corning Gorilla Glass 7i,HDR image support,,"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 8 MP, (ultrawide), 1/4.0"", 1.12µm, AF",,,
tecno,https://www.gsmarena.com/tecno_camon_40_pro-13696.php,Tecno Camon 40 Pro 4G,164.4 x 74.3 x 7.3 mm (6.47 x 2.93 x 0.29 in),178 g (6.28 oz),Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min),"AMOLED, 120Hz","6.78 inches, 109.9 cm 2 (~90.0% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 15, up to 3 major Android upgrades, HIOS 15",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Unspecified,256GB 8GB RAM,,,"Dual-LED flash, HDR, panorama","4K@30/60fps (HDR), 1080p@30fps","50 MP, f/2.5, 24mm (wide), 1/2.8"", 0.64µm, PDAF",Yes,5200 mAh,"45W wired, 50% in 23 min, 100% in 43 min",,Corning Gorilla Glass 7i,HDR image support,,"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 8 MP, (ultrawide)",,,
tecno,https://www.gsmarena.com/tecno_camon_40-13697.php,Tecno Camon 40,164.1 x 74.6 x 7.3 mm (6.46 x 2.94 x 0.29 in),177.2 g (6.24 oz),Nano-SIM + Nano-SIM,IP66 dust tight and water resistant (high pressure water jets),"AMOLED, 120Hz","6.78 inches, 109.9 cm 2 (~89.8% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 15, up to 3 major Android upgrades, HIOS 15",Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Unspecified,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,"Dual-LED flash, HDR, panorama",Yes,"32 MP, (wide)",Yes,5200 mAh,"45W wired, 50% in 23 min, 100% in 43 min",,Panda King Glass,HDR image support,,"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 8 MP, (ultrawide)",,,
tecno,https://www.gsmarena.com/tecno_spark_go_1s-13648.php,Tecno Spark Go 1S,165.6 x 77 x 8.4 mm (6.52 x 3.03 x 0.33 in),-,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 90Hz","6.67 inches, 107.4 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)","Android 14 (Go edition), HIOS 14",Mediatek Helio G50,Octa-core 2.2 GHz Cortex-A53,PowerVR GE8320,microSDXC,64GB 3GB RAM,eMMC 5.1,"13 MP, f/1.8, 27mm (wide), PDAF","Dual-LED flash, HDR",1080p@30fps,8 MP,Yes,5000 mAh,15W wired,"Glass front, plastic back, plastic frame",,,,,,,
tecno,https://www.gsmarena.com/tecno_megapad_11-13546.php,Tecno Megapad 11,257.1 x 168.7 x 7.6 mm (10.12 x 6.64 x 0.30 in),510 g (1.12 lb),Nano-SIM,,"IPS LCD, 90Hz, 440 nits","11.0 inches, 350.9 cm 2 (~80.9% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",Android 14,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,13 MP,LED flash,1080p@30fps,8 MP,Yes,8000 mAh,18W wired,,,,,,,,
tecno,https://www.gsmarena.com/tecno_pop_9_4g-13509.php,Tecno Pop 9 4G,166 x 77 x 8 mm (6.54 x 3.03 x 0.31 in),189 g (6.67 oz),Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 90Hz (India), 120Hz (International)","6.67 inches, 107.4 cm 2 (~84.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)",Android 14 (Go edition),Unisoc T615 (12 nm) - International Mediatek Helio G50 - India,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55) - International Octa-core 2.2 GHz Cortex-A53 - India,Mali-G57 MP1 - International PowerVR GE8320 - India,microSDXC,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM",eMMC 5.1,"13 MP, f/1.8, 27mm (wide), 1.12µm, PDAF","Dual-LED flash, HDR",1080p@30fps,8 MP,Yes,5000 mAh,15W wired,"Glass front, plastic back, plastic frame",,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_megapad-13268.php,Tecno Megapad,240.7 x 159.5 x 7.4 mm (9.48 x 6.28 x 0.29 in),447 g (15.77 oz),Nano-SIM (cellular model only),,"IPS LCD, 450 nits","10.1 inches, 295.8 cm 2 (~77.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 14,Mediatek Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"128GB 4GB RAM, 256GB 4GB RAM",,13 MP,LED flash,1080p@30fps,5 MP,Yes,7000 mAh,18W wired,,,,,,,,
tecno,https://www.gsmarena.com/tecno_camon_30s-13426.php,tecno_camon_30s-13426.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_30c_5g-13385.php,Tecno Spark 30C 5G,165 x 77 x 8 mm (6.50 x 3.03 x 0.31 in),-,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 120Hz","6.67 inches, 107.4 cm 2 (~84.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)",Android 14,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 4GB RAM",,"48 MP, (wide), 1/2.0"", 0.8µm, AF Auxiliary lens",Tripple-LED flash,1080p@30fps,8 MP,Yes,5000 mAh,18W wired,"Glass front, plastic back, plastic frame",,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_spark_30_5g-13384.php,Tecno Spark 30 5G,165.4 x 76.8 x 7.8 mm (6.51 x 3.02 x 0.31 in),-,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 120Hz","6.67 inches, 107.4 cm 2 (~84.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)","Android 14, HIOS 14.5",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 6GB RAM, 256GB 8GB RAM",,,Tripple-LED flash,Yes,8 MP,Yes,5000 mAh,18W wired,,,,"108 MP, f/1.9, (wide), PDAF Unspecified cameras",,Dual-LED dual-tone flash,,
tecno,https://www.gsmarena.com/tecno_pop_9-13358.php,Tecno Pop 9,165 x 77 x 8 mm (6.50 x 3.03 x 0.31 in),189 g (6.67 oz),Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 120Hz","6.6 inches, 104.6 cm 2 (~82.4% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",Android 14,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM",,"48 MP, (wide), 1/2.0"", 0.8µm, AF Auxiliary lens","Dual-LED flash, HDR",1080p@30fps,8 MP,Yes,5000 mAh,18W wired,"Glass front, plastic back, plastic frame",,,,,Dual-LED flash,,
tecno,https://www.gsmarena.com/tecno_spark_30_pro-13357.php,Tecno Spark 30 Pro,166.6 x 77 x 7.4 mm (6.56 x 3.03 x 0.29 in),-,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, 1700 nits (peak)","6.78 inches, 109.9 cm 2 (~85.7% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 14, HIOS 14",Mediatek Helio G100 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,"108 MP, f/1.9, (wide), 1/1.52"", PDAF Auxiliary lens","Quad-LED flash, HDR","1440p@30fps, 1080p@30fps","13 MP, (wide)",1080p@30fps,5000 mAh,33W wired,,,,,,Dual-LED dual-tone flash,,
tecno,https://www.gsmarena.com/tecno_spark_30-13356.php,Tecno Spark 30,168 x 76.4 x 7.7 mm or 7.9 mm,-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"IPS LCD, 90Hz, 800 nits","6.78 inches, 109.2 cm 2 (~85.0% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),"Android 14, HIOS 14",Mediatek Helio G91 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,"64 MP, (wide), 1/1.73"", 0.8µm, PDAF Auxiliary lens","Quad-LED flash, HDR","1440p@30fps, 1080p@30fps","13 MP, (wide)",1080p@30fps,5000 mAh,18W wired,"Glass front, plastic frame, plastic back or silicone polymer (eco leather) back",,,,,Dual-LED dual-tone flash,,
tecno,https://www.gsmarena.com/tecno_phantom_v_fold2-13334.php,Tecno Phantom V Fold2,Unfolded: 159 x 140.4 x 6.1 mm Folded: 159 x 72.2 x 11.8-12 mm,249 g (8.78 oz),Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes) Stylus support,"Foldable LTPO AMOLED, 1B colors, 120Hz","7.85 inches, 196.9 cm 2 (~88.2% screen-to-body ratio)",2000 x 2296 pixels (~388 ppi density),"Android 14, up to 2 major Android upgrades, HiOS 14 Fold",Mediatek Dimensity 9000+ (4 nm),Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,No,512GB 12GB RAM,UFS,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm Cover camera: 32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",1080p@60fps,5750 mAh,"70W wired, 50% in 20 min, 100% in 49 min 15W wireless",,,"Cover display: LTPO AMOLED, 1B colors, 120Hz, 1600 nits (peak), Corning Gorilla Glass Victus 6.42 inches, 1080 x 2550 pixels, 431 PPI","50 MP, f/1.9, 23mm (wide), 1/1.3"", 1.2µm, PDAF, OIS 50 MP, f/2.0, 50mm (telephoto), 1/2.8"", 0.64µm, PDAF, 2x optical zoom 50 MP, f/2.2, 115˚ (ultrawide), PDAF",,,,
tecno,https://www.gsmarena.com/tecno_phantom_v_flip2-13335.php,Tecno Phantom V Flip2,Unfolded: 170.8 x 73.4 x 7.6 mm Folded: 87.8 x 73.4 x 16 mm,196 g (6.91 oz),Nano-SIM,,"Foldable LTPO AMOLED, 120Hz","6.9 inches, 107.6 cm 2 (~85.9% screen-to-body ratio)",1080 x 2640 pixels (~413 ppi density),"Android 14, HIOS 14",Mediatek Dimensity 8020 (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,256GB 8GB RAM,UFS,,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm, PDAF","1440p@30fps, 1080p@30/60fps",4720 mAh,"70W wired, 50% in 15 min, 100% in 45 min","Eco leather back, aluminum frame, steel hinge",,"Cover display: AMOLED 3.64 inches, 1056 x 1066 pixels, 413 ppi, Corning Gorilla Glass",,"50 MP, (wide), 1/1.57"", 1.0µm, PDAF, OIS 50 MP, 114˚ (ultrawide)",LED flash,,
