brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Display | ,Main Camera | Triple,Main Camera | Single,Selfie camera | Features
infinix,https://www.gsmarena.com/infinix_hot_50_4g-13367.php,Infinix Hot 50 4G,167.9 x 75.6 x 7.7 mm (6.61 x 2.98 x 0.30 in),187 g (6.60 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,Splash proof,"IPS LCD, 120Hz, 800 nits (typ)","6.78 inches, 109.2 cm 2 (~86.0% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 14, XOS 14.5",Mediatek Helio G100 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",UFS,,"Dual-LED flash, panorama","1440p@30fps, 1080p@30/60fps","8 MP, f/2.0, (wide), 1/4.0""",Yes,5000 mAh,18W wired Reverse wired Bypass charging,,"50 MP, f/1.6, 27mm (wide), 1/2.76"", AF other unspecified cameras",,LED flash
infinix,https://www.gsmarena.com/infinix_zero_flip-13347.php,Infinix Zero Flip,Unfolded: 170.4 x 73.4 x 7.6 mm Folded: 87.5 x 73.4 x 16 mm,195 g (6.88 oz),,· Nano-SIM · Nano-SIM + Nano-SIM,,"Foldable LTPO AMOLED, 120Hz, 1400 nits (peak)","6.9 inches, 107.6 cm 2 (~86.1% screen-to-body ratio)",1080 x 2640 pixels (~413 ppi density),,"Android 14, up to 2 major Android upgrades, XOS 14.5",Mediatek Dimensity 8020 (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"256GB 8GB RAM, 512GB 8GB RAM",UFS 3.1,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS 50 MP, f/2.2, 115˚ (ultrawide), 1/2.8"", 0.64µm, PDAF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","50 MP, f/2.5, 25mm (wide), 1/2.76"", 0.64µm, PDAF","4K@30/60fps, 1080p@30/60/120fps",4720 mAh,70W wired 10W reverse wired,"Cover display: AMOLED, 120Hz, 1100 nits (peak) 3.64 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus 2",,,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_50-13305.php,Infinix Hot 50,165.7 x 77.1 x 7.8 mm (6.52 x 3.04 x 0.31 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"IPS LCD, 120Hz, 480 nits (typ)","6.7 inches, 108.4 cm 2 (~84.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,"Android 14, XOS 14.5",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",UFS 2.2,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, AF Auxiliary lenses",Dual-LED flash,"1440p@30fps, 1080p@30/60fps","8 MP, f/2.0, (wide), 1/4.0""",Yes,Li-Po 5000 mAh,18W wired Reverse wired,,,,LED flash
infinix,https://www.gsmarena.com/infinix_zero_40-13290.php,Infinix Zero 40,164.3 x 74.8 x 7.9 mm (6.47 x 2.94 x 0.31 in),195 g (6.88 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, HDR, 144Hz, 1300 nits (HBM)","6.78 inches, 109.9 cm 2 (~89.4% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass 5,"Android 14, up to 2 major Android upgrades, XOS 14.5",Mediatek Dimensity 8200 Ultimate (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 3.1,,"Triple-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","50 MP, f/2.5, 21mm (wide), 1/2.76"", PDAF","4K@30/60fps, 1080p@30/60fps",5000 mAh,"45W wired, 60% in 25 min 20W wireless 10W reverse wired Bypass Charging 2.0",,"108 MP, f/1.8, (wide), 1/1.67"", PDAF, OIS 50 MP, f/2.0, 120˚, (ultrawide), 1/2.76"", PDAF Auxiliary lens",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_zero_40_4g-13276.php,Infinix Zero 40 4G,164.3 x 74.6 x 7.7 mm (6.47 x 2.94 x 0.30 in),180 g (6.35 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 1300 nits (HBM)","6.78 inches, 109.9 cm 2 (~89.7% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass 5,"Android 14, up to 2 major Android upgrades, XOS 14.5",Mediatek Helio G100 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"256GB 8GB RAM, 512GB 8GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.5, 21mm (wide), 1/2.76"", PDAF","1440p@30fps, 1080p@30/60fps",5000 mAh,"45W wired, 50% in 25 min 10W reverse wired Bypass Charging 2.0",,"108 MP, f/1.8, (wide), 1/1.67"", PDAF, OIS 50 MP, f/2.0, 120˚, (ultrawide), 1/2.76"", PDAF Auxiliary lens",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_xpad-13263.php,Infinix Xpad,257 x 168.6 x 7.6 mm (10.12 x 6.64 x 0.30 in),496 g (1.09 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM (cellular model only),,"IPS LCD, 90Hz, 440 nits","11.0 inches, 350.9 cm 2 (~81.0% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",,"Android 14, XOS 14",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 4GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",eMMC,,Quad-LED flash,"1440p@30fps, 1080p@30fps",8 MP,1080p@30fps,Li-Po 7000 mAh,"18W wired, 50% in 40 min",,,8 MP,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_note_40x_5g-13246.php,Infinix Note 40X 5G,168.9 x 76.5 x 8.3 mm (6.65 x 3.01 x 0.33 in),201 g (7.09 oz),,Nano-SIM + Nano-SIM,Dust and splash resistant,"IPS LCD, 120Hz, 500","6.78 inches, 109.2 cm 2 (~84.5% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 14, XOS 14",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","8 MP, (wide)",1080p@30fps,5000 mAh,"18W wired, 50% in 31 min Reverse wired",,"108 MP, f/1.8, (wide), PDAF 2 MP (macro) Auxiliary lens",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_note_40_5g-13035.php,Infinix Note 40 5G,165.5 x 75.9 x 7.9 mm (6.52 x 2.99 x 0.31 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"AMOLED, 1B colors, 120Hz, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~87.5% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),,"Android 14, XOS 14",Mediatek Dimensity 7020 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,microSDXC (dedicated slot),"256GB 8GB RAM, 512GB 12GB RAM",UFS 2.2,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","32 MP, f/2.2, (wide)",1080p@30fps,5000 mAh,"33W wired, 50% in 31 min 15W wireless MagCharge Reverse wired Reverse wireless",,"108 MP, f/1.8, 24mm (wide), PDAF 2 MP, f/2.4 2 MP, f/2.4",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_gt_20_pro-12962.php,Infinix GT 20 Pro,164.3 x 75.4 x 8.2 mm (6.47 x 2.97 x 0.32 in),194 g (6.84 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes) Customizable RGB LEDs on the back,"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 1300 nits (peak)","6.78 inches, 112.7 cm 2 (~91.0% screen-to-body ratio)",1080 x 2436 pixels (~388 ppi density),,"Android 14, XOS 14",Mediatek Dimensity 8200 Ultimate (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,Unspecified,"256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,,"Quad-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps","32 MP, f/2.2, 22mm (wide)","1440p@30fps, 1080p@30/60fps",5000 mAh,"45W wired, PD3",,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, AF, OIS 2 MP (macro) Auxiliary lens",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_note_40_pro+-12874.php,Infinix Note 40 Pro+,164.3 x 74.5 x 8.1 mm (6.47 x 2.93 x 0.32 in),190 g or 196 g (6.70 oz),"Glass front, plastic frame, silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"AMOLED, 1B colors, 120Hz, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~89.8% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass,"Android 14, up to 2 major Android upgrades, XOS 14",Mediatek Dimensity 7020 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","32 MP, f/2.2, (wide), 1/3.1"", 0.7µm","1440p@30fps, 1080p@30/60fps",4600 mAh,"100W wired, 50% in 12 min 20W wireless MagCharge Reverse wired Reverse wireless",,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF, OIS 2 MP, f/2.4 2 MP, f/2.4",,Dual-LED flash
