brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Display | ,Main Camera | Triple,Main Camera | Single,Selfie camera | Features
infinix,https://www.gsmarena.com/infinix_note_40_pro-12875.php,Infinix Note 40 Pro,164.3 x 74.5 x 8.1 mm (6.47 x 2.93 x 0.32 in),190 g or 196 g (6.70 oz),,Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~89.8% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass,"Android 14, XOS 14",Mediatek Dimensity 7020 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Unspecified,256GB 8GB RAM,UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","32 MP, f/2.2, (wide), 1/3.1""",1080p@30fps,5000 mAh,"45W wired, 50% in 26 min 20W wireless MagCharge Reverse wired Reverse wireless",,"108 MP, f/1.8, (wide), PDAF, OIS 2 MP, f/2.4 2 MP, f/2.4",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_note_40_pro_4g-12876.php,Infinix Note 40 Pro 4G,164.4 x 74.6 x 7.8 mm (6.47 x 2.94 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~89.6% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass,"Android 14, XOS 14",Mediatek Helio G99 Ultimate,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Unspecified,"256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","32 MP, f/2.2, (wide), 1/3.1""",1080p@30fps,5000 mAh,"70W wired, 50% in 20 min 20W wireless MagCharge Reverse wired Reverse wireless",,"108 MP, f/1.8, (wide), 1/1.67"", PDAF, OIS 2 MP, f/2.4 2 MP, f/2.4",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_note_40-12877.php,Infinix Note 40,164.1 x 74.5 x 7.8 mm (6.46 x 2.93 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~89.9% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass,"Android 14, XOS 14",Mediatek Helio G99 Ultimate,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Unspecified,256GB 8GB RAM,UFS 2.2,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","32 MP, f/2.2, (wide), 1/3.1""",1080p@30fps,5000 mAh,"45W wired, 50% in 26 min 20W wireless MagCharge Reverse wired Reverse wireless",,"108 MP, f/1.9, (wide), 1/1.52"", PDAF 2 MP, f/2.4 3rd unspecified camera",,
infinix,https://www.gsmarena.com/infinix_smart_8_plus-12817.php,Infinix Smart 8 Plus,163.7 x 75.7 x 9 mm (6.44 x 2.98 x 0.35 in),204 g (7.20 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.6 inches, 104.6 cm 2 (~84.4% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,"Android 13 (Go edition), XOS 13",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",,,"Ring-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",Yes,6000 mAh,18W wired Reverse wired,,,"50 MP, f/1.9, (wide), AF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_smart_8_pro-12812.php,Infinix Smart 8 Pro,163.6 x 75.6 x 8.5 mm (6.44 x 2.98 x 0.33 in),189 g (6.67 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.6 inches, 104.6 cm 2 (~84.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,"Android 13 (Go edition), XOS 13",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 8GB RAM, 256GB 4GB RAM",,,"Ring-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",Yes,5000 mAh,10W wired Reverse wired,,,"50 MP, f/1.9, (wide), AF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_smart_8_(india)-12792.php,infinix_smart_8_(india)-12792.php,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinix,https://www.gsmarena.com/infinix_smart_8_hd-12736.php,Infinix Smart 8 HD,163.6 x 75.6 x 8.5 mm (6.44 x 2.98 x 0.33 in),184 g (6.49 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.6 inches, 104.6 cm 2 (~84.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,"Android 13, XOS 13",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"64GB 3GB RAM, 64GB 4GB RAM",UFS 2.2,,"Ring-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",Yes,5000 mAh,10W wired Reverse wired,,,"13 MP, f/1.8, 27mm (wide), AF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_hot_40_pro-12733.php,Infinix Hot 40 Pro,168.6 x 76.6 x 8.3 mm (6.64 x 3.02 x 0.33 in),199 g (7.02 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 120Hz, 500 nits (peak)","6.78 inches, 109.2 cm 2 (~84.5% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 13, XOS 13.5",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, AF 2 MP (macro) Auxiliary lens","Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","32 MP, f/2.2, (wide), 1/3.15"", 0.7µm",1080p@30fps,5000 mAh,"33W wired, 20-75% in 35 min Reverse wired",,,,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_40-12732.php,Infinix Hot 40,168.6 x 76.6 x 8.3 mm (6.64 x 3.02 x 0.33 in),196 g (6.91 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.78 inches, 109.2 cm 2 (~84.5% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 13, XOS 13.5",Mediatek MT6769H Helio G88 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",,"50 MP, f/1.6, (wide), AF 2 MP (macro) Auxiliary lens","Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","32 MP, f/2.2, (wide)",1080p@30fps,5000 mAh,"33W wired, 20-75% in 35 min Reverse wired",,,,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_40i-12731.php,Infinix Hot 40i,163.6 x 75.6 x 8.3 mm (6.44 x 2.98 x 0.33 in),190 g (6.70 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 480 nits (peak)","6.56 inches, 103.4 cm 2 (~83.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,"Android 13, XOS 13",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,"Quad-LED flash, HDR, panorama",1080p@30fps,"32 MP, f/2.2, 22mm (wide), 1/3.15"", 0.7µm",1080p@30fps,5000 mAh,18W wired Reverse wired,,,"50 MP, f/1.6, 27mm (wide), 1/2.75"", 0.64µm, AF Auxiliary lens",Dual-LED flash
infinix,https://www.gsmarena.com/infinix_smart_8-12642.php,Infinix Smart 8,163.6 x 75.6 x 8.5 mm (6.44 x 2.98 x 0.33 in),184 g (6.49 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.6 inches, 104.6 cm 2 (~84.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,Android 13,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,,"Ring-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide), 1/3.94"", 1.12µm",Yes,5000 mAh,10W wired Reverse wired,,,"13 MP, f/1.9, 27mm (wide), 1/3.05"", 1.12µm, AF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_zero_30_4g-12641.php,Infinix Zero 30 4G,164.5 x 75 x 7.9 mm (6.48 x 2.95 x 0.31 in),182 g (6.42 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 950 nits (peak)","6.78 inches, 111.0 cm 2 (~90.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass 5,"Android 13, XOS 13",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,UFS 2.2,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","50 MP, f/2.5, (wide), 1/2.76"", PDAF","1440p@30fps, 1080p@30/60fps",5000 mAh,"45W wired, PD3.0, 75% in 30 min",,"108 MP, f/1.7, (wide), 1/1.67"", PDAF 2 MP, f/2.4 2 MP, f/2.4",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_zero_30-12518.php,Infinix Zero 30,164.5 x 75 x 7.9 mm (6.48 x 2.95 x 0.31 in),185 g (6.53 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5) or eco leather back, plastic frame",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"AMOLED, 1B colors, 144Hz, 950 nits (peak)","6.78 inches, 111.0 cm 2 (~90.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Corning Gorilla Glass 5,"Android 13, XOS 13",Mediatek Dimensity 8020 (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps","50 MP, f/2.5, (wide), 1/2.76"", PDAF","4K@30/60fps, 1080p@30fps",5000 mAh,"68W wired, 80% in 30 min",,"108 MP, f/1.7, (wide), 1/1.67"", PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide) 2 MP, f/2.4",,LED flash
infinix,https://www.gsmarena.com/infinix_gt_10_pro-12451.php,Infinix GT 10 Pro,162.7 x 75.9 x 8.1 mm (6.41 x 2.99 x 0.32 in),187 g (6.60 oz),,Nano-SIM + Nano-SIM,LED strip on the back,"AMOLED, 1B colors, 120Hz, 900 nits (peak)","6.67 inches, 107.4 cm 2 (~87.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 13, up to 1 major Android upgrades, XOS 13",Mediatek Dimensity 8050 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,microSDXC (dedicated slot),256GB 8GB RAM,UFS 3.1,,"Quad-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","32 MP, f/2.5, (wide)","1440p@30fps, 1080p@30/60fps",5000 mAh,"45W wired, PD3",,"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, AF 2 MP (macro) Auxiliary lens",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_30_5g-12424.php,Infinix Hot 30 5G,168.5 x 76.5 x 9.2 mm (6.63 x 3.01 x 0.36 in),215 g (7.58 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"IPS LCD, 120Hz, 580 nits (peak)","6.78 inches, 109.2 cm 2 (~84.7% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 13, XOS 13",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 8GB RAM",,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","8 MP, f/2.0, (wide)",1080p@30fps,5000 mAh,18W wired,,,"50 MP, f/1.6, (wide), 1/2.55"", AF Auxiliary lens",Dual-LED flash
infinix,https://www.gsmarena.com/infinix_note_30_vip-12365.php,Infinix Note 30 VIP,162.7 x 75.9 x 8.2 mm (6.41 x 2.99 x 0.32 in),190 g (6.70 oz),"Glass front, plastic frame, glass back",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays)* * market/region dependent availability,"AMOLED, 1B colors, 120Hz, 900 nits (peak)","6.67 inches, 107.4 cm 2 (~87.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 13, XOS 13",Mediatek Dimensity 8050 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,microSDXC (dedicated slot),"256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,,"Quad-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","32 MP, f/2.5, (wide)",1080p@30fps,5000 mAh,"68W wired, PD3.0, PPS, 80% in 30 min, bypass charging 50W wireless, 50% in 30 min Reverse wired Reverse wireless",,"108 MP, f/1.8, (wide), 1/1.67"", PDAF 2 MP, f/2.4 2 MP, f/2.4",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_30_play_nfc-12289.php,Infinix Hot 30 Play NFC,170.6 x 77.5 x 8.6 mm (6.72 x 3.05 x 0.34 in),205 g (7.23 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.82 inches, 110.5 cm 2 (~83.5% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),,"Android 13, XOS 12.6",Mediatek MT6765 Helio G37 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 8GB RAM",eMMC 5.1,"16 MP, f/1.8, (wide), PDAF Auxiliary lens","Dual-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,6000 mAh,18W wired,,,,"Dual-LED flash, HDR"
infinix,https://www.gsmarena.com/infinix_note_30_pro-12273.php,Infinix Note 30 Pro,162.7 x 76 x 8.2 mm (6.41 x 2.99 x 0.32 in),203 g (7.16 oz),"Glass front, plastic frame, glass back",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"AMOLED, 1B colors, 120Hz, 900 nits (peak)","6.67 inches, 107.4 cm 2 (~86.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 13, XOS 13",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),256GB 8GB RAM,UFS 2.2,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","32 MP, f/2.0, (wide), 1/2.8""",1080p@30fps,5000 mAh,"68W wired, PD3.0, 80% in 30 min 15W wireless Reverse wireless",,"108 MP, (wide), 1/1.67"", PDAF 2 MP (macro) Auxiliary lens",,"LED flash, HDR"
infinix,https://www.gsmarena.com/infinix_note_30-12288.php,Infinix Note 30,168.6 x 76.6 x 8.6 mm (6.64 x 3.02 x 0.34 in),219 g (7.72 oz),"Glass front, plastic frame, glass or leather back",Nano-SIM + Nano-SIM,,"IPS LCD, 120Hz, 580 nits (peak)","6.78 inches, 109.2 cm 2 (~84.5% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,Android 13,Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","16 MP, f/2.0, (wide)","1440p@30fps, 1080p@30/60fps",5000 mAh,45W wired,,"64 MP, f/1.7, (wide), 1/2.0"", 0.7µm, PDAF Auxiliary lenses",,"LED flash, HDR"
infinix,https://www.gsmarena.com/infinix_note_30_5g-12272.php,infinix_note_30_5g-12272.php,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinix,https://www.gsmarena.com/infinix_note_30i-12274.php,Infinix Note 30i,164.5 x 76.7 x 8.2 mm (6.48 x 3.02 x 0.32 in),198 g (6.98 oz),"Glass front, plastic frame, glass back or eco leather back",Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),AMOLED,"6.66 inches, 107.1 cm 2 (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 13, XOS 13",Mediatek MT6769 Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Unspecified,256GB 8GB RAM,,"64 MP, f/1.7, (wide), 1/2.0"", PDAF Auxiliary lens","Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","16 MP, f/2.0",1080p@30fps,5000 mAh,"33W wired, PD3.0, 95% in 60 min Reverse wired",,,,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_smart_7_hd-12243.php,Infinix Smart 7 HD,163.9 x 75.5 x 8.7 mm (6.45 x 2.97 x 0.34 in),196.5 g (6.95 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 500 nits","6.6 inches, 104.6 cm 2 (~84.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,Android 12 (Go edition),,Octa-core 1.6 GHz,,microSDXC (dedicated slot),64GB 2GB RAM,UFS 2.1,,"Dual-LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.0",720p@30fps,5000 mAh,10W wired,,,"8 MP, f/2.0 Auxiliary lens",LED flash
infinix,https://www.gsmarena.com/infinix_hot_30i_(50_mp)-14011.php,Infinix Hot 30i (50 MP),164 x 75.8 x 8.4 mm (6.46 x 2.98 x 0.33 in),191 g (6.74 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.56 inches, 103.4 cm 2 (~83.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Panda Glass,"Android 12, XOS 12",Mediatek Helio G37 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),128GB 8GB RAM,eMMC 5.1,,"Dual-LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.0, (wide)",1080p@30fps,Li-Po 5000 mAh,10W wired,,,"50 MP, f/1.6, (wide), AF Auxiliary lens",Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_30i-12216.php,Infinix Hot 30i,164 x 75.8 x 8.4 mm (6.46 x 2.98 x 0.33 in),191 g (6.74 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.56 inches, 103.4 cm 2 (~83.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,"Android 12, XOS 10.6",Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide), 1/3.94""",1080p@30fps,5000 mAh,18W wired,,,"13 MP, f/1.9, (wide), 1/3.07"", AF Auxiliary lens",Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_30-12214.php,Infinix Hot 30,168.7 x 76.6 x 8.4 mm (6.64 x 3.02 x 0.33 in),196 g (6.91 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (typ), 600 nits (peak)","6.78 inches, 109.2 cm 2 (~84.5% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 13, XOS 12.6",Mediatek MT6769H Helio G88 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","8 MP, f/2.5, (wide)",1080p@30fps,5000 mAh,"33W wired, 55% in 30 min",,,"50 MP, f/1.6, (wide), 1/2.55"", AF Auxiliary lens",Dual-LED flash
infinix,https://www.gsmarena.com/infinix_smart_7_(india)-12131.php,Infinix Smart 7 (India),164.2 x 75.6 x 9.4 mm (6.46 x 2.98 x 0.37 in),207 g (7.30 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 500 nits","6.6 inches, 104.6 cm 2 (~84.3% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,"Android 12, XOS 12",Unisoc SC9863A1 (22 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (dedicated slot),"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",eMMC 5.1,"13 MP, AF Auxiliary lens","Dual-LED flash, HDR, panorama",1080p@30fps,5 MP,720p@30fps,6000 mAh,10W wired,,,,LED flash
infinix,https://www.gsmarena.com/infinix_smart_7-12116.php,Infinix Smart 7,163.8 x 75.6 x 8.7 mm (6.45 x 2.98 x 0.34 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 500 nits","6.6 inches, 104.6 cm 2 (~84.5% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,Android 12,Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),"64GB 3GB RAM, 64GB 4GB RAM",eMMC 5.1,"13 MP, AF Auxiliary lens","Dual-LED flash, HDR, panorama",1080p@30fps,5 MP,720p@30fps,5000 mAh,10W wired,,,,LED flash
infinix,https://www.gsmarena.com/infinix_zero_5g_2023-11976.php,Infinix Zero 5G 2023,168.7 x 76.5 x 8.9 mm (6.64 x 3.01 x 0.35 in),201 g (7.09 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 120Hz, 500 nits (peak)","6.78 inches, 109.2 cm 2 (~84.6% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 12, upgradable to Android 13, XOS 13",Mediatek Dimensity 1080 Mediatek Dimensity 920 (6 nm) - X6815D,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - X6815D,Mali-G68 MC4,microSDXC (dedicated slot),256GB 8GB RAM,,,"Quad-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps","16 MP, f/2.0, (wide), 1/3"", 1.0µm",1080p@30fps,5000 mAh,33W wired,,"50 MP, f/1.6, (wide), PDAF 2 MP (macro) Auxiliary lens",,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_20_play-11931.php,Infinix Hot 20 Play,171 x 78 x 8.9 mm (6.73 x 3.07 x 0.35 in),209.6 g (7.41 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.82 inches, 110.5 cm 2 (~82.8% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),,"Android 12, XOS 10.6",Mediatek MT6765 Helio G37 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF Auxiliary lens",Quad-LED flash,1080p@30fps,8 MP,1080p@30fps,6000 mAh,18W wired 5W reverse wired,,,,Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_20s-11930.php,Infinix Hot 20S,168.7 x 76.8 x 8.5 mm (6.64 x 3.02 x 0.33 in),202 g (7.13 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"IPS LCD, 120Hz, 500 nits","6.78 inches, 109.2 cm 2 (~84.3% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,"Android 12, XOS 12",Mediatek MT6781 Helio G96 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),128GB 8GB RAM,,,"Quad-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",8 MP,1080p@30fps,5000 mAh,18W wired 5W reverse wired,,"50 MP, f/1.6, (wide), PDAF 2 MP (macro) Auxiliary lens",,Dual-LED flash
