brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | ,Platform | OS,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Single,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Display | Protection,Platform | Chipset,Platform | CPU,Platform | GPU,Main Camera | Triple,Selfie camera | Features,Memory | Phonebook,Memory | Call records,Main Camera | Quad,Selfie camera | Dual,Battery | Stand-by,Battery | Talk time,Selfie camera | 
huawei,https://www.gsmarena.com/huawei_watch_3-10940.php,Huawei Watch 3,46.2 x 46.2 x 12.2 mm (1.82 x 1.82 x 0.48 in),54 g (1.90 oz),"Glass front, ceramic back, stainless steel frame",eSIM,50m water resistant 5 ATM Compatible with standard 22mm straps,AMOLED,1.43 inches,466 x 466 pixels (~326 ppi density),,"HarmonyOS 2.0, upgradable to 3.0",No,16GB 2GB RAM,eMMC 5.1,,,,,,Li-Ion,10W wireless,,,,,,,,,,,,,,
huawei,https://www.gsmarena.com/huawei_nova_8_pro_4g-10875.php,Huawei nova 8 Pro 4G,163.3 x 74.1 x 7.9 mm (6.43 x 2.92 x 0.31 in),184 g (6.49 oz),,Nano-SIM + Nano-SIM,,"OLED, 1B colors, HDR10, 120Hz","6.72 inches, 110.9 cm 2 (~91.7% screen-to-body ratio)","1236 x 2676 pixels, 19.5:9 ratio (~439 ppi density)",,"Android 10, EMUI 11, no Google Play Services",No,"128GB 8GB RAM, 256GB 8GB RAM",UFS,,"LED flash, panorama, HDR","4K, 1080p, 720p@960fps, gyro-EIS",,1080p@30fps,Li-Po 4000 mAh,"66W wired, 60% in 15 min, 100% in 35 min 5W reverse wired",,,Kirin 985 5G (7 nm),Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G77 (8-core),,HDR,,,"64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120˚, 17mm (ultrawide) 2 MP (macro) Auxiliary lens","16 MP, f/2.0, (wide) 32 MP, f/2.4, 100˚ (ultrawide)",,,
huawei,https://www.gsmarena.com/huawei_matepad_t_10-11768.php,Huawei MatePad T 10,240.2 x 159 x 7.9 mm (9.46 x 6.26 x 0.31 in),450 g (0.99 lb),,Nano-SIM (cellular model only),,IPS LCD,"9.7 inches, 272.8 cm 2 (~71.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~156 ppi density)",,"Android 10, EMUI 10.1, no Google Play Services",microSDXC,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 4GB RAM, 64GB 2GB RAM, 64GB 4GB RAM",eMMC 5.1,"5 MP, f/2.2, PDAF","HDR, panorama",1080p@30fps,"2 MP, f/2.4",720p@30fps,Li-Po 5100 mAh,,,,Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,,,,,,,,,
huawei,https://www.gsmarena.com/huawei_watch_fit_elegant-10794.php,Huawei Watch Fit Elegant,46 x 30 x 10.7 mm (1.81 x 1.18 x 0.42 in),27 g (0.95 oz),"Glass front, plastic back, stainless steel frame",No,5ATM water resistant,AMOLED,1.64 inches,280 x 456 pixels (~326 ppi density),,Proprietary OS,No,4GB,eMMC,,,,,,Li-Ion,,,,,,,,,,,,,,,
huawei,https://www.gsmarena.com/huawei_mate_40e-10783.php,Huawei Mate 40E,158.6 x 72.5 x 8.8 mm (6.24 x 2.85 x 0.35 in),188 g (6.63 oz),"Glass front, glass back, aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),"OLED, HDR10, 90Hz","6.5 inches, 102.7 cm 2 (~89.3% screen-to-body ratio)",1080 x 2376 pixels (~402 ppi density),,"Android 10, EMUI 11, no Google Play Services",Nano Memory (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS 3.1,,"Laser AF, color spectrum sensor, Leica optics, LED flash, panorama, HDR","4K, 1080p, gyro-EIS","13 MP, f/2.4, 18mm (ultrawide)","4K, 720p@240fps",Li-Po 4200 mAh,40W wired 40W wireless 5W reverse wired,,,Kirin 990E 5G (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP14,"64 MP, f/1.9, 27mm (wide), PDAF 8 MP, f/2.4, 85mm (telephoto), PDAF, OIS, 3x optical zoom 16 MP, f/2.2, 17mm (ultrawide)","HDR, panorama",,,,,,,
huawei,https://www.gsmarena.com/huawei_p40_4g-10755.php,Huawei P40 4G,148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in),175 g (6.17 oz),"Glass front, glass back, aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP53 dust protected and water resistant (vertical water sprays),OLED,"6.1 inches, 91.3 cm 2 (~86.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)",,"Android 10, EMUI, no Google Play Services",Nano Memory (uses shared SIM slot),"128GB 4GB RAM, 128GB 8GB RAM",UFS 3.0,,"Leica optics, color spectrum sensor, LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm IR TOF 3D, (biometrics sensor only)","4K@30/60fps, 1080p@30/60fps",Li-Po 3800 mAh,22.5W wired,,,Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom 16 MP, f/2.2, 17mm (ultrawide), AF",HDR,,,,,,,
huawei,https://www.gsmarena.com/huawei_mate_x2-10697.php,Huawei Mate X2,Unfolded: 161.8 x 145.8 x 8.2 mm Folded: 161.8 x 74.6 x 14.7 mm,295 g (10.41 oz),"Glass front, glass back, aluminum frame",Nano-SIM + Nano-SIM,,"Foldable OLED, 90Hz","8.0 inches, 206.0 cm 2 (~87.3% screen-to-body ratio)",2200 x 2480 pixels (~413 ppi density),"Cover display: OLED, 90Hz, 6.45 inches, 1160 x 2700 pixels","Android 10, EMUI 11, no Google Play Services",Nano Memory (uses shared SIM slot),"256GB 8GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",UFS 3.X,,"Laser AF, color spectrum sensor, Leica optics, LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS","16 MP, f/2.2, (wide)",1080p@30fps,Li-Po 4500 mAh,55W wired,,,Kirin 9000 5G (5 nm),Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55),Mali-G78 MP24,,"HDR, panorama",,,"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS 12 MP, f/2.4, 70mm (telephoto), PDAF, OIS, 3x optical zoom 8 MP, f/4.4, 240mm (periscope telephoto), PDAF, OIS, 10x optical zoom 16 MP, f/2.2, 17mm (ultrawide), AF",,,,
huawei,https://www.gsmarena.com/huawei_nova_8_pro_5g-10642.php,Huawei nova 8 Pro 5G,163.3 x 74.1 x 7.9 mm (6.43 x 2.92 x 0.31 in),184 g (6.49 oz),,Nano-SIM + Nano-SIM,,"OLED, 1B colors, HDR10, 120Hz","6.72 inches, 110.9 cm 2 (~91.7% screen-to-body ratio)","1236 x 2676 pixels, 19.5:9 ratio (~439 ppi density)",,"Android 10, EMUI 11, no Google Play Services",No,"128GB 8GB RAM, 256GB 8GB RAM",UFS,,"LED flash, panorama, HDR","4K, 1080p, 720p@960fps, gyro-EIS",,1080p@30fps,Li-Po 4000 mAh,"66W wired, 60% in 15 min, 100% in 35 min 5W reverse wired",,,Kirin 985 5G (7 nm),Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G77 (8-core),,HDR,,,"64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120˚, 17mm (ultrawide) 2 MP (macro) Auxiliary lens","16 MP, f/2.0, (wide) 32 MP, f/2.4, 100˚ (ultrawide)",,,
huawei,https://www.gsmarena.com/huawei_nova_8_5g-10645.php,Huawei nova 8 5G,160.1 x 74.1 x 7.6 mm (6.30 x 2.92 x 0.30 in),169 g (5.96 oz),,Nano-SIM + Nano-SIM,,"OLED, 1B colors, HDR10, 90Hz","6.57 inches, 106.0 cm 2 (~89.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)",,"Android 10, EMUI 11, no Google Play Services",No,"128GB 8GB RAM, 256GB 8GB RAM",UFS,,"LED flash, panorama, HDR","4K, 1080p, 720p@960fps, gyro-EIS","32 MP, f/2.0, 26mm (wide)",4K,Li-Po 3800 mAh,"66W wired, 60% in 15 min, 100% in 35 min 5W reverse wired",,,Kirin 985 5G (7 nm),Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G77 (8-core),,HDR,,,"64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120˚, 17mm (ultrawide) 2 MP (macro) Auxiliary lens",,,,
huawei,https://www.gsmarena.com/huawei_enjoy_20_se-10652.php,Huawei Enjoy 20 SE,165.7 x 76.9 x 9.3 mm (6.52 x 3.03 x 0.37 in),206 g (7.27 oz),,Nano-SIM + Nano-SIM,,IPS LCD,"6.67 inches, 107.4 cm 2 (~84.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 10, EMUI 10.1, no Google Play Services",microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 8GB RAM",,,"LED flash, HDR, panorama",1080p@30/60fps,"8 MP, f/2.0, (wide)",1080p@30fps,Li-Po 5000 mAh,"22.5W wired, 46% in 30 min",,,Kirin 710A (14 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,"13 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)",HDR,,,,,,,
huawei,https://www.gsmarena.com/huawei_nova_8_se-10579.php,Huawei nova 8 SE,161.1 x 74.8 x 7.5 mm (6.34 x 2.94 x 0.30 in),178 g (6.28 oz),,Nano-SIM + Nano-SIM,,"OLED, HDR10","6.53 inches, 102.9 cm 2 (~85.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)",,"Android 10, EMUI 10.1, no Google Play Services",No,128GB 8GB RAM,,,"LED flash, Panorama, HDR","4K@30fps, 1080p@30fps","16 MP, f/2.0, (wide)",1080p@30fps,Li-Po 3800 mAh,"66W wired, 60% in 15 min, 100% in 35 min",,,Mediatek Dimensity 720 (7 nm) - standard model Mediatek Dimensity 800U (7 nm) - premium model,Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - standard model Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - premium model,Mali-G57 MC3,,HDR,,,"64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120˚, 17mm (ultrawide) 2 MP (macro) Auxiliary lens",,,,
huawei,https://www.gsmarena.com/huawei_mate_40_rs_porsche_design-10551.php,Huawei Mate 40 RS Porsche Design,162.9 x 75.5 x 10.1 mm (6.41 x 2.97 x 0.40 in),234 g (8.25 oz),"Glass front, ceramic back, aluminum frame",· Nano-SIM · Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"OLED, HDR10, 90Hz","6.76 inches, 115.7 cm 2 (~94.1% screen-to-body ratio)","1344 x 2772 pixels, 18.5:9 ratio (~456 ppi density)",,"Android 10, EMUI 11, no Google Play Services",Nano Memory (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",SFS 1.0,,"Laser AF, color spectrum sensor, Leica optics, LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS","13 MP, f/2.4, 18mm (ultrawide) TOF 3D, (depth/biometrics sensor)","4K@30/60fps, 1080p@30/60/240fps",Li-Po 4400 mAh,66W wired 50W wireless 5W reverse wireless,,,Kirin 9000 5G (5 nm),Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55),Mali-G78 MP24,,"HDR, panorama",,,"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS 12 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 8 MP, f/4.4, 240mm (periscope telephoto), PDAF, OIS, 10x optical zoom 20 MP, f/1.8, 18mm (ultrawide), PDAF TOF 3D, (depth)",,,,
