brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Display | ,Main Camera | Single,Body | Build,Memory | ,Selfie camera | Features,Main Camera | Triple,Selfie camera | Dual,Main Camera | Quad
zte,https://www.gsmarena.com/zte_nubia_z50_ultra-12157.php,ZTE nubia Z50 Ultra,163.9 x 76.3 x 8.3 mm (6.45 x 3.00 x 0.33 in),228 g (8.04 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 120Hz, HDR10+, 1500 nits (peak)","6.8 inches, 111.6 cm 2 (~89.3% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",,"Android 13, MyOS 13",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",,"Laser AF, Ring-LED, dual-tone flash, panorama, HDR","8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video","16 MP, f/2.0, 26mm (wide), 1/2.8"", 1.22µm, under display",1080p@30fps,Li-Po 5000 mAh,"80W wired, PD3.0, QC4",,,,UFS 4.0,HDR,"64 MP, f/1.6, 35mm (standard), 1/1.73"", 0.8µm, PDAF, OIS 64 MP, f/3.3, 85mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3.3x optical zoom (vs. 26mm cam) 50 MP, f/2.X, 14mm, 116˚ (ultrawide), PDAF",,
zte,https://www.gsmarena.com/zte_nubia_pad_3d-12152.php,ZTE nubia Pad 3D,285 x 190 x 8.5 mm (11.22 x 7.48 x 0.33 in),780 g (1.72 lb),No,,"IPS LCD, 120Hz","12.4 inches, 445.8 cm 2 (~82.3% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~243 ppi density)",Corning Gorilla Glass,Android 12L,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","16 MP, f/1.9, 27mm (wide), AF 16 MP, f/1.9, 27mm (wide), AF","LED flash, HDR, panorama, stereoscopic Al-powered 3D capture",1200p@30fps,,1200p@30fps,9070 mAh,33W wired,3D lightfield display Real-time 2D to 3D content conversion,,"Glass front, aluminum frame, aluminum back",UFS 3.1,Stereoscopic Al-powered 3D capture,,"8 MP, f.2,2, 105˚ (ultrawide) 8 MP, f.2,2, 105˚ (ultrawide)",
zte,https://www.gsmarena.com/zte_blade_v40-12104.php,ZTE Blade V40,-,-,Nano-SIM + Nano-SIM,,IPS LCD,"6.67 inches, 107.4 cm 2","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,Android 12,Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,128GB 6GB RAM,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Li-Po 6000 mAh,22.5W wired,,,,,,"48 MP, f/1.8, (wide), PDAF 2 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_blade_v40_design-12096.php,ZTE Blade V40 Design,163 x 74 x 8 mm (6.42 x 2.91 x 0.31 in),183.4 g (6.46 oz),Nano-SIM + Nano-SIM,,IPS LCD,"6.6 inches, 104.9 cm 2 (~87.0% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,"Android 12, MyOS 12",Unisoc Tiger T616 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"8 MP, (wide)",1080p@30fps,Li-Po 4500 mAh,22.5W wired,,,,UFS 2.2,,"50 MP, f/1.8, (wide), PDAF 2 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_nubia_red_magic_8_pro+-12042.php,ZTE nubia RedMagic 8 Pro+,164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in),230 g (8.11 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors, 120Hz, 1300 nits (peak)","6.8 inches, 111.6 cm 2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",Unspecified,"Android 13, Redmagic OS 6",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, f/2.0, (wide), 1.12µm, under display",1080p@30/60fps,Li-Po 5000 mAh,"165W wired, PD3.0, 100% in 14 min",,,"Glass front, glass back, aluminum frame",UFS 4.0,HDR,"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0µm, PDAF 8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm 2 MP (macro)",,
zte,https://www.gsmarena.com/zte_nubia_red_magic_8_pro-12015.php,ZTE nubia RedMagic 8 Pro,164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in),228 g (8.04 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors (China only), 120Hz, 1300 nits (peak)","6.8 inches, 111.6 cm 2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",Corning Gorilla Glass 5,"Android 13, Redmagic OS 6",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, f/2.0, (wide), 1.12µm, under display",1080p@30/60fps,Li-Po 6000 mAh,"80W wired, PD3.0, 100% in 35 min - China 65W wired, PD3.0, 100% in 43 min - International",,,"Glass front (Gorilla Glass 5), glass back, aluminum frame",UFS 4.0,HDR,"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0µm, PDAF 8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm 2 MP (macro)",,
zte,https://www.gsmarena.com/zte_nubia_z50-12031.php,ZTE nubia Z50,162.9 x 72.9 x 8.5 mm or 8.7 mm,197 g or 199 g (6.95 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 144Hz, HDR10+, 1000 nits","6.67 inches, 107.4 cm 2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 13, MyOS 13",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","64 MP, f/1.6, 35mm (standard), 1/1.7"", PDAF, OIS 50 MP, f/2.2, 14mm, 116˚ (ultrawide), AF","Ring-LED flash (4 LEDs), panorama, HDR","8K, 4K","16 MP, (wide)",1080p@30fps,Li-Po 5000 mAh,80W wired,,,"Glass front, aluminum frame, glass back or eco leather back",UFS 4.0 UFS 3.1 (128GB only),HDR,,,
zte,https://www.gsmarena.com/zte_blade_v41_vita-12018.php,ZTE Blade V41 Vita,-,-,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.6 inches, 104.9 cm 2","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,"Android 12, MyOS 12",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),128GB 6GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, (wide)",1080p@30fps,Li-Po 4500 mAh,22.5W wired,,,,UFS 2.2,,"50 MP, f/1.8, (wide), PDAF 2 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_voyage_40_pro+-12006.php,ZTE Voyage 40 Pro+,163.5 x 75.8 x 7.6 mm (6.44 x 2.98 x 0.30 in),192.5 g (6.81 oz),Nano-SIM + Nano-SIM,,"AMOLED, 770 nits (HBM)","6.67 inches, 107.4 cm 2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 12, MyOS 12",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,256GB 8GB RAM,,"LED flash, HDR, panorama","4K@30fps, 1080p@30ps","16 MP, f/2.0, (wide)",1080p@30fps,Li-Po 4510 mAh,"66W wired, 55% in 15 min",,,,,,,,"64 MP, f/1.8, (wide), PDAF 5 MP (macro) Auxiliary lens"
zte,https://www.gsmarena.com/zte_axon_40_ultra_space_edition-12005.php,ZTE Axon 40 Ultra Space Edition,163.3 x 73.6 x 8.4 mm (6.43 x 2.90 x 0.33 in),204 g (7.20 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 120Hz, HDR10+, 1500 nits (peak)","6.8 inches, 111.6 cm 2 (~92.9% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",,"Android 12, MyOS 12",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"512GB 12GB RAM, 1TB 18GB RAM",,"Laser AF, Dual-LED dual-tone flash, panorama, HDR","8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video","16 MP, f/2.0, 26mm (wide), 1/2.8"", 1.22µm, under display",1080p@30fps,Li-Po 5000 mAh,"80W wired, PD3.0, QC4",,,"Glass front, ceramic back, aluminum frame",UFS 3.1,HDR,"64 MP, f/1.6, 35mm (standard), 1/1.7"", PDAF, OIS 64 MP, f/3.5, 91mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3.5x optical zoom (vs. 26mm cam) 64 MP, f/2.4, 16mm, 112˚ (ultrawide), 1/1.7"", PDAF",,
zte,https://www.gsmarena.com/zte_axon_40_se-11944.php,ZTE Axon 40 SE,163.5 x 75.8 x 7.6 mm (6.44 x 2.98 x 0.30 in),182 g (6.42 oz),Nano-SIM + Nano-SIM,,AMOLED,"6.67 inches, 107.4 cm 2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 12, MyOS 12",Unisoc UMS512T T618 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),Mali-G52 MP2,microSDXC (dedicated slot),128GB 4GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Li-Ion 4500 mAh,22.5W wired,,,,,,"50 MP, f/1.8, 26mm (wide), PDAF 5 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_blade_v40s-11917.php,ZTE Blade V40s,163.5 x 75.8 x 7.6 mm (6.44 x 2.98 x 0.30 in),184 g (6.49 oz),Nano-SIM + Nano-SIM,,AMOLED,"6.67 inches, 107.4 cm 2 (~86.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 12, MyOS 12",Unisoc UMS512T T618 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),Mali-G52 MP2,microSDXC (dedicated slot),128GB 6GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Li-Ion 4500 mAh,22.5W wired,,,,UFS 2.2,,"50 MP, f/1.8, 26mm (wide), PDAF 5 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_axon_30s-11901.php,ZTE Axon 30S,170.2 x 77.8 x 7.8 mm (6.70 x 3.06 x 0.31 in),189 g (6.67 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 120Hz","6.92 inches, 107.0 cm 2 (~80.8% screen-to-body ratio)",1080 x 2460 pixels (~400 ppi density),Corning Gorilla Glass,"Android 12, MyOS 12",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 12GB RAM",,"Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30fps, gyro-EIS, HDR, 10‑bit video","16 MP, f/2.5, (wide), under display",1080p@30fps,Li-Ion 4200 mAh,"55W wired, PD, QC4",,,"Glass front, plastic back, plastic frame",UFS 3.1,HDR,,,"64 MP, f/1.8, 25mm (wide), 1/1.73"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 16mm (ultrawide) 5 MP (macro) Auxiliary lens"
zte,https://www.gsmarena.com/zte_nubia_z40s_pro-11698.php,ZTE nubia Z40S Pro,161.3 x 74 x 8.1 mm (6.35 x 2.91 x 0.32 in),205 g (7.23 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 144Hz, HDR10+, 1000 nits","6.67 inches, 107.4 cm 2 (~90.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 12, upgradable to Android 13, MyOS 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 18GB RAM",,"Dual-LED flash, panorama, HDR","8K, 4K@30/60/120fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.5, (wide)",Yes,Market-dependent versions: · Li-Po 5000 mAh (regular version) · Li-Po 4600 mAh (120W version),80W wired (regular version) 120W wired; 15W magnetic wireless (120W version),,,"Glass front, aluminum frame, glass back",UFS 3.1,HDR,"64 MP, f/1.6, 35mm (standard), 1/1.7"", PDAF, OIS 8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom 50 MP, f/2.2, 14mm, 116˚ (ultrawide), AF",,
zte,https://www.gsmarena.com/zte_nubia_red_magic_7s_pro-11649.php,ZTE nubia RedMagic 7S Pro,166.3 x 77.1 x 10 mm (6.55 x 3.04 x 0.39 in),235 g (8.29 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors (China only), 120Hz, 600 nits","6.8 inches, 111.6 cm 2 (~87.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",Corning Gorilla Glass 5,"Android 12, Redmagic 5.5",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 512GB 16GB RAM, 512GB 18GB RAM, 1TB 18GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, (wide), under display",1080p@30/60fps,Li-Po 5000 mAh,"135W wired, PD3.0, 50% in 5 min, 100% in 15 min (China) 65W wired, PD3.0 (International)",,,"Glass front, glass back, aluminum frame",UFS 3.1,HDR,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF 8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm 2 MP (macro)",,
zte,https://www.gsmarena.com/zte_nubia_red_magic_7s-11664.php,ZTE nubia RedMagic 7S,170.6 x 78.3 x 9.5 mm (6.72 x 3.08 x 0.37 in),215 g (7.58 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors (China only), 165Hz, 700 nits (typ)","6.8 inches, 111.6 cm 2 (~83.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",,"Android 12, Redmagic 5.5",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",1080p@30fps,Li-Po 4500 mAh,"120W wired, PD3.0, 100% in 17 min",,,"Glass front, glass back, aluminum frame",UFS 3.1,HDR,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF 8 MP, f/2.0, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm 2 MP (macro)",,
zte,https://www.gsmarena.com/zte_blade_v40_pro-11660.php,ZTE Blade V40 Pro,163.9 x 76.2 x 8.3 mm (6.45 x 3.00 x 0.33 in),190 g (6.70 oz),Nano-SIM + Nano-SIM,,AMOLED,"6.67 inches, 107.4 cm 2 (~86.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,Android 11,Unisoc Tiger T618 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),Mali G52 MP2,No,128GB 6GB RAM,,"LED flash, HDR, panorama",1080p@30ps,16 MP,1080p@30fps,Li-Po 5100 mAh,"65W wired, 50% in 15 min",,,"Glass front, plastic back, plastic frame",,HDR,,,"64 MP, (wide), PDAF 2 MP (macro) Auxiliary lens"
zte,https://www.gsmarena.com/zte_blade_a72_5g-11958.php,ZTE Blade A72 5G,164 x 75.5 x 9.2 mm (6.46 x 2.97 x 0.36 in),211 g (7.44 oz),Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.52 inches, 102.6 cm 2 (~82.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Android 11,Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,"LED flash, HDR",1080p@30fps,5 MP,720p@30fps,Li-Ion 4000 mAh,,,,,,,"13 MP, f/1.8, (wide), AF 2 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_blade_a72-11612.php,ZTE Blade A72,168 x 77.5 x 9.4 mm (6.61 x 3.05 x 0.37 in),214 g (7.55 oz),Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.75 inches, 110.0 cm 2 (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~390 ppi density)",,Android 11,Unisoc SC9863A (28 nm) - version 1 Unisoc T606 (12 nm) - version 2,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55) - version 1 Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55) - version 2,IMG8322 - version 1 Mali-G57 MP1 - version 2,microSDXC,"64GB 3GB RAM, 128GB 3GB RAM",,"LED flash, HDR",1080p@30fps,5 MP,720p@30fps,Li-Ion 6000 mAh,22.5W wired,,,,,,"13 MP, AF 2 MP (macro) Auxiliary lens",,
