brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Display | ,Main Camera | Single,Body | Build,Memory | ,Selfie camera | Features,Main Camera | Triple,Selfie camera | Dual,Main Camera | Quad
zte,https://www.gsmarena.com/zte_nubia_z50s_pro-12428.php,ZTE nubia Z50S Pro,163.9 x 76.3 x 8.3 mm (6.45 x 3.00 x 0.33 in),228 g (8.04 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors, 120Hz, 1200 nits (peak)","6.8 inches, 111.6 cm 2 (~89.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~452 ppi density)",,"Android 13, MyOS 13, no planned android upgrades",Qualcomm SM8550-AC Snapdragon 8+ Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740 (719 MHz),No,"256GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.6, 35mm (standard), 1/1.49"", 1.0µm, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), 1/4.4"", PDAF, OIS, optical zoom 50 MP, f/2.0, 13mm, 125˚ (ultrawide), 1/2.88"", 0.61µm, AF","Dual-LED dual-tone flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p, gyro-EIS, 10-bit","16 MP, f/2.5, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Li-Po 5100 mAh,80W wired,,,"Glass front, silicone polymer back (eco leather), aluminum frame",UFS 4.0 - 256GB UFS 3.1 - 1TB,,,,
zte,https://www.gsmarena.com/zte_nubia_red_magic_tablet-12402.php,ZTE nubia RedMagic Tablet,279.7 x 181.9 x 6.5 mm (11.01 x 7.16 x 0.26 in),613 g (1.35 lb),Nano-SIM,,"IPS LCD, 1B colors, 144Hz, 600 nits (peak)","12.1 inches, 424.5 cm 2 (~83.4% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~249 ppi density)",,"Android 13, Redmagic OS 8",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 512GB 16GB RAM",,"LED flash, HDR, panorama",1080p@30fps,16 MP,1080p@30fps,Li-Po 10000 mAh,"80W wired, 50% in 24 min, 100% in 55 min",,"13 MP, AF","Glass front, aluminum frame, aluminum back",UFS 3.1,,,,
zte,https://www.gsmarena.com/zte_nubia_red_magic_8s_pro+-12399.php,ZTE nubia RedMagic 8S Pro+,164 x 76.4 x 8.9 mm (6.46 x 3.01 x 0.35 in),230 g (8.11 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors (China only), 120Hz, 1300 nits (peak)","6.8 inches, 111.6 cm 2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",Corning Gorilla Glass 5,"Android 13, Redmagic OS 8",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740 (719 MHz),No,"256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, f/2.0, (wide), 1.12µm, under display",1080p@30/60fps,Li-Po 5000 mAh,"165W wired, PD3.0, 100% in 14 min",,,"Glass front (Gorilla Glass 5), glass back, aluminum frame",UFS 4.0,HDR,"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0µm, PDAF 8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm 2 MP (macro)",,
zte,https://www.gsmarena.com/zte_nubia_red_magic_8s_pro-12398.php,ZTE nubia RedMagic 8S Pro,164 x 76.4 x 9.5 mm (6.46 x 3.01 x 0.37 in),228 g (8.04 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame,"AMOLED, 1B colors (China only), 120Hz, 1300 nits (peak)","6.8 inches, 111.6 cm 2 (~89.1% screen-to-body ratio)","1116 x 2480 pixels, 20:9 ratio (~400 ppi density)",Corning Gorilla Glass 5,"Android 13, Redmagic OS 8",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740 (719 MHz),No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","16 MP, f/2.0, (wide), 1.12µm, under display",1080p@30/60fps,Li-Po 6000 mAh,"80W wired, PD3.0, 100% in 35 min (China) 65W wired, PD3.0, 100% in 40 min (International)",,,"Glass front (Gorilla Glass 5), glass back, aluminum frame",UFS 4.0,HDR,"50 MP, f/1.9, 25mm (wide), 1/1.57"", 1.0µm, PDAF 8 MP, f/2.2, 120˚, 13mm (ultrawide), 1/4.0"",  1.12µm 2 MP (macro)",,
zte,https://www.gsmarena.com/zte_blade_a53_pro-13552.php,ZTE Blade A53 Pro,164 x 75.8 x 8.7 mm (6.46 x 2.98 x 0.34 in),-,Nano-SIM + Nano-SIM,,IPS LCD,"6.52 inches, 102.6 cm 2 (~82.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Android 12,Unisoc SC9863A1 (22 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, AF Auxiliary lens",LED flash,1080p@30fps,5 MP,Yes,5000 mAh,10W wired,,,,,,,,
zte,https://www.gsmarena.com/zte_blade_a53-13551.php,ZTE Blade A53,165.7 x 76.4 x 9.1 mm (6.52 x 3.01 x 0.36 in),-,Nano-SIM + Nano-SIM,,IPS LCD,"6.52 inches, 102.6 cm 2 (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Android 12 (Go edition),Unisoc SC9863A1 (22 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC (uses shared SIM slot),32GB 2GB RAM,,LED flash,1080p@30fps,5 MP,Yes,4000 mAh,10W wired,,"8 MP, AF",,,,,,
zte,https://www.gsmarena.com/zte_blade_a72s-12455.php,ZTE Blade A72s,168 x 77.5 x 8.6 mm (6.61 x 3.05 x 0.34 in),198 g (6.98 oz),Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.75 inches, 110.0 cm 2 (~84.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,Android 12,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC,128GB 3GB RAM,,LED flash,1080p@30fps,5 MP,720p@30fps,Li-Ion 5000 mAh,22.5W wired,,,,UFS 2.2,,"50 MP, (wideo), AF 2 MP (macro) Auxiliary lens",,
zte,https://www.gsmarena.com/zte_v70-12341.php,ZTE V70,163.9 x 76.2 x 8.3 mm (6.45 x 3.00 x 0.33 in),192 g (6.77 oz),Nano-SIM + Nano-SIM,,"AMOLED, 1B colors","6.67 inches, 107.4 cm 2 (~86.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 11, MyOS 11.5",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, (wide)",1080p@30fps,Li-Po 5100 mAh,"66W wired, 50% in 15 min",,,,,,"64 MP, f/1.8, 25mm (wide), PDAF 8 MP, f/2.2, 16mm, 120˚ (ultrawide) 5 MP (macro)",,
zte,https://www.gsmarena.com/zte_axon_50_ultra-12228.php,ZTE Axon 50 Ultra,161.8 x 73.1 x 8.9 mm (6.37 x 2.88 x 0.35 in),199 g (7.02 oz),Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 144Hz","6.67 inches, 107.4 cm 2 (~90.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 12, MyOS 12",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 512GB 12GB RAM",,"Laser AF, Dual-LED dual-tone flash, panorama, HDR","8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video","32 MP, f/2.5, (wide)",1080p@30fps,Li-Po 5000 mAh,"80W wired, PD3.0, QC4",,,,UFS 3.1,HDR,"64 MP, f/1.9, 24mm (wide), 1/1.73"", 0.8µm, PDAF, OIS 50 MP, f/2.0, (telephoto), PDAF, 3x optical zoom 50 MP, f/2.2, 116˚ (ultrawide), PDAF",,
zte,https://www.gsmarena.com/zte_axon_pad-12229.php,ZTE Axon Pad,279 x 181 x 6.5 mm (10.98 x 7.13 x 0.26 in),605 g (1.33 lb),Nano-SIM,Stylus support,"IPS LCD, 1B colors, 120Hz","12.1 inches, 424.5 cm 2 (~84.1% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~249 ppi density)",,"Android 13, MyOS 13",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 730,No,"256GB 8GB RAM, 512GB 12GB RAM",,"LED flash, HDR, panorama",1080p@30fps,16 MP,1080p@30fps,Li-Po 10000 mAh,80W wired,,"13 MP, AF",,UFS 3.1,,,,
