Link,Chipset,Antutu_11,Clock,GPU,Architecture
/en/soc/qualcomm-snapdragon-4-gen-1,Snapdragon 4 Gen 1,521686,2000 MHz,Adreno 619,2x 2 GHz – Cortex-A78 | 6x 1.8 GHz – Cortex-A55
/en/soc/samsung-exynos-1280,Exynos 1280,605067,2400 MHz,Mali-G68 MP4,2x 2.4 GHz – Cortex-A78 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-765g,Snapdragon 765G,597153,2400 MHz,Adreno 620,1x 2.4 GHz – Kryo 475 Prime (Cortex-A76) | 1x 2.2 GHz – Kryo 475 Gold (Cortex-A76) | 6x 1.8 GHz – Kryo 475 Silver (Cortex-A55)
/en/soc/hisilicon-kirin-810,Kirin 810,551097,2270 MHz,-,2x 2.27 GHz – Cortex-A76 | 6x 1.9 GHz – Cortex-A55
/en/soc/mediatek-helio-g200,Helio G200,601391,2200 MHz,Mali-G57 MP2,2x 2.2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-helio-g100,Helio G100,570469,2200 MHz,Mali-G57 MP2,2x 2.2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-4s-gen-2,Snapdragon 4s Gen 2,506757,2000 MHz,Adreno 611,2x 2 GHz – Cortex-A78 | 6x 1.8 GHz – Cortex-A55
/en/soc/unisoc-t760,Unisoc T760,626381,2200 MHz,Mali-G57 MP4,4x 2.2 GHz – Cortex-A76 | 4x 2 GHz – Cortex-A55
/en/soc/mediatek-dimensity-6300,Dimensity 6300,532738,2400 MHz,Mali-G57 MP2,2x 2.4 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-dimensity-6100-plus,Dimensity 6100 Plus,513180,2200 MHz,Mali-G57 MP2,2x 2.2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-dimensity-6080,Dimensity 6080,581315,2400 MHz,Mali-G57 MP2,2x 2.4 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-dimensity-6020,Dimensity 6020,527185,2200 MHz,Mali-G57 MP2,2x 2.2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-helio-g99,Helio G99,547830,2200 MHz,Mali-G57 MP2,2x 2.2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-dimensity-810,Dimensity 810,569913,2400 MHz,Mali-G57 MP2,2x 2.4 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-750g,Snapdragon 750G,525163,2200 MHz,Adreno 619,2x 2.2 GHz – Kryo 570 Gold (Cortex-A77) | 6x 1.8 GHz – Kryo 570 Silver (Cortex-A55)
/en/soc/qualcomm-snapdragon-732g,Snapdragon 732G,517306,2300 MHz,Adreno 618,2x 2.3 GHz – Kryo 470 Gold (Cortex-A76) | 6x 1.8 GHz – Kryo 470 Silver (Cortex-A55)
/en/soc/mediatek-dimensity-800u,Dimensity 800U,551706,2400 MHz,Mali-G57 MP3,2x 2.4 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-dimensity-800,Dimensity 800,612841,2000 MHz,Mali-G57 MP4,4x 2 GHz – Cortex-A76 | 4x 2 GHz – Cortex-A55
/en/soc/samsung-exynos-980,Exynos 980,603944,2200 MHz,Mali-G76 MP5,2x 2.2 GHz – Cortex-A77 | 6x 1.8 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-480-plus,Snapdragon 480 Plus,477542,2200 MHz,Adreno 619,2x 2.2 GHz – Kryo 460 Gold (Cortex-A76) | 6x 1.8 GHz – Kryo 460 Silver (Cortex-A55)
/en/soc/mediatek-dimensity-700,Dimensity 700,515647,2200 MHz,Mali-G57 MP2,2x 2.2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-690,Snapdragon 690,499040,2000 MHz,Adreno 619,2x 2 GHz – Kryo 560 Gold (Cortex-A77) | 6x 1.7 GHz – Kryo 560 Silver (Cortex-A55)
/en/soc/qualcomm-snapdragon-720g,Snapdragon 720G,514122,2300 MHz,Adreno 618,2x 2.3 GHz – Kryo 465 Gold (Cortex-A76) | 6x 1.8 GHz – Kryo 465 Silver (Cortex-A55)
/en/soc/samsung-exynos-9810,Exynos 9810,583267,2900 MHz,Mali-G72 MP18,4x 2.9 GHz – Exynos M3 | 4x 1.9 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-845,Snapdragon 845,570119,2800 MHz,Adreno 630,4x 2.8 GHz – Kryo 385 Gold (Cortex-A75) | 4x 1.8 GHz – Kryo 385 Silver (Cortex-A55)
/en/soc/qualcomm-snapdragon-6s-4g-gen-2,Snapdragon 6s 4G Gen 2,522680,2900 MHz,Adreno 610,4x 2.9 GHz – Cortex-A73 | 4x 1.9 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-480,Snapdragon 480,456551,2000 MHz,Adreno 619,2x 2 GHz – Kryo 460 Gold | 6x 1.8 GHz – Kryo 460 Silver
/en/soc/mediatek-dimensity-720,Dimensity 720,452426,2000 MHz,Mali-G57 MP3,2x 2 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-730g,Snapdragon 730G,506661,2200 MHz,Adreno 618,2x 2.2 GHz – Kryo 470 Gold (Cortex-A76) | 6x 1.8 GHz – Kryo 470 Silver (Cortex-A55)
/en/soc/qualcomm-snapdragon-730,Snapdragon 730,494401,2200 MHz,Adreno 618,2x 2.2 GHz – Kryo 470 Gold (Cortex-A76) | 6x 1.8 GHz – Kryo 470 Silver (Cortex-A55)
/en/soc/qualcomm-snapdragon-685,Snapdragon 685,461236,2800 MHz,Adreno 610,4x 2.8 GHz – Cortex-A73 | 4x 1.9 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-680,Snapdragon 680,415362,2400 MHz,Adreno 610,4x 2.4 GHz – Kryo 265 Gold (Cortex-A73) | 4x 1.9 GHz – Kryo 265 Silver (Cortex-A53)
/en/soc/mediatek-helio-g96,Helio G96,493222,2050 MHz,Mali-G57 MP2,2x 2.05 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-678,Snapdragon 678,447401,2200 MHz,Adreno 612,2x 2.2 GHz – Kryo 460 Gold (Cortex-A76) | 6x 1.7 GHz – Kryo 460 Silver (Cortex-A55)
/en/soc/mediatek-helio-g95,Helio G95,534895,2050 MHz,Mali-G76 MP4,2x 2.05 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-helio-g90,Helio G90,469000,2050 MHz,Mali-G76 MP4,2x 2.05 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/mediatek-helio-g90t,Helio G90T,495638,2050 MHz,Mali-G76 MP4,2x 2.05 GHz – Cortex-A76 | 6x 2 GHz – Cortex-A55
/en/soc/apple-a10-fusion,A10 Fusion,516981,2340 MHz,PowerVR GT7600,2x 2.34 GHz – Hurricane | 2x 1.05 GHz – Zephyr
/en/soc/qualcomm-snapdragon-675,Snapdragon 675,412926,2000 MHz,Adreno 612,2x 2 GHz – Kryo 460 Gold (Cortex-A76) | 6x 1.7 GHz – Kryo 460 Silver (Cortex-A55)
/en/soc/mediatek-helio-p95,Helio P95,380202,2200 MHz,PowerVR GM9446,2x 2.2 GHz – Cortex-A75 | 6x 2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-712,Snapdragon 712,434173,2300 MHz,Adreno 616,2x 2.3 GHz – Kryo 360 Gold (Cortex-A75) | 6x 1.7 GHz – Kryo 360 Silver (Cortex-A55)
/en/soc/hisilicon-kirin-970,Kirin 970,470805,2360 MHz,Mali-G72 MP12,4x 2.36 GHz – Cortex A73 | 4x 1.84 GHz – Cortex A53
